player,co2,km,tournaments,rank,name,ioc,flag,matches
207989,19.140541875879116,67159.79605571622,17.0,1,Carlos Alcaraz,ESP,🇪🇸,70
104745,13.396527070781636,47005.358143093465,11.0,2,Rafael Nadal,ESP,🇪🇸,49
134770,23.979466671618255,84138.47954953775,24.0,3,Casper Ruud,NOR,🇳🇴,73
126774,23.107763392703426,81079.87155334538,25.0,4,Stefanos Tsitsipas,GRE,,85
104925,6.555668330187004,23002.34501820001,12.0,5,Novak Djokovic,SRB,🇷🇸,50
200000,24.61134275447801,86355.58861220353,28.0,6,Felix Auger Aliassime,CAN,🇨🇦,87
106421,19.932630162517636,69939.05320181628,19.0,7,Daniil Medvedev,RUS,🇷🇺,64
126094,25.51687938219637,89532.91011296974,23.0,8,Andrey Rublev,RUS,🇷🇺,71
126203,22.61133786200293,79338.02758597519,22.0,9,Taylor Fritz,USA,🇺🇸,68
128034,25.128004642372,88168.43734165616,22.0,10,Hubert Hurkacz,POL,🇵🇱,62
208029,32.24155653717068,113128.26855147608,27.0,11,Holger Rune,DEN,🇩🇰,64
100644,13.032557104631218,45728.27054256569,11.0,12,Alexander Zverev,GER,🇩🇪,40
105807,24.31664523029887,85321.56221157503,25.0,13,Pablo Carreno Busta,ESP,🇪🇸,62
111815,26.24615648896149,92091.77715425084,25.0,14,Cameron Norrie,GBR,🇬🇧,76
206173,23.31368029371488,81802.38699549082,18.0,15,Jannik Sinner,ITA,🇮🇹,64
126610,16.421488240669433,57619.25698480503,14.0,16,Matteo Berrettini,ITA,🇮🇹,44
105227,21.59500189347021,75771.93646831652,20.0,17,Marin Cilic,CRO,🇭🇷,54
133430,25.275116038387196,88684.61767855159,24.0,18,Denis Shapovalov,CAN,🇨🇦,60
126207,22.177501908529894,77815.79617028034,24.0,19,Frances Tiafoe,USA,🇺🇸,60
111575,24.732932923453703,86782.22078404811,25.0,20,Karen Khachanov,RUS,🇷🇺,62
105138,24.41834081032658,85678.38880816345,22.0,21,Roberto Bautista Agut,ESP,🇪🇸,61
106401,15.267183125343376,53569.063597696055,13.0,22,Nick Kyrgios,AUS,🇦🇺,52
207518,26.625791727280493,93423.83062203684,28.0,23,Lorenzo Musetti,ITA,🇮🇹,63
200282,27.796047458350824,97529.99108193272,26.0,24,Alex De Minaur,AUS,🇦🇺,72
106043,24.709457200723612,86699.84982710042,25.0,25,Diego Schwartzman,ARG,🇦🇷,57
106432,13.299104211461785,46663.52354898871,13.0,26,Borna Coric,CRO,🇭🇷,33
105554,23.79748434299213,83499.94506313032,27.0,27,Daniel Evans,GBR,🇬🇧,58
105777,23.221102569104666,81477.55287405144,21.0,28,Grigor Dimitrov,BUL,,48
200175,24.54428897511852,86120.31219339832,24.0,29,Miomir Kecmanovic,SRB,🇷🇸,64
202103,22.24065568933015,78037.3883836146,21.0,30,Francisco Cerundolo,ARG,🇦🇷,45
200221,24.46770496605008,85851.59637210555,26.0,31,Alejandro Davidovich Fokina,ESP,🇪🇸,47
