player,co2,km,tournaments,rank,name,ioc,flag,matches
126205,19.624503681953943,68857.90765597875,26.0,32,Tommy Paul,USA,🇺🇸,66
200624,19.12528120956156,67106.24985811072,22.0,33,Sebastian Korda,USA,🇺🇸,56
202195,22.055633767940165,77388.1886594392,27.0,34,Maxime Cressy,USA,🇺🇸,53
122298,26.83348965743844,94152.59528925766,27.0,35,Botic Van De Zandschulp,NED,🇳🇱,67
106415,18.341478238227037,64356.06399377909,18.0,36,Yoshihito Nishioka,JPN,🇯🇵,36
122330,23.78637018847657,83460.94802974236,26.0,37,Alexander Bublik,KAZ,🇰🇿,60
124187,12.628618759361704,44310.94301530422,16.0,38,Reilly Opelka,USA,🇺🇸,36
105077,24.714939956764393,86719.08756759435,28.0,39,Albert Ramos,ESP,🇪🇸,52
200325,23.580309256505288,82737.92721580804,27.0,40,Emil Ruusuvuori,FIN,🇫🇮,64
104545,16.05795050221115,56343.685972670704,17.0,41,John Isner,USA,🇺🇸,41
207733,10.076069585395784,35354.63012419574,13.0,42,Jack Draper,GBR,🇬🇧,33
202104,25.52880922849749,89574.76922279822,27.0,43,Sebastian Baez,ARG,🇦🇷,56
126239,19.221840342835065,67445.053834509,19.0,44,Arthur Rinderknech,FRA,🇫🇷,42
132283,27.679991551736624,97122.77737451448,29.0,45,Lorenzo Sonego,ITA,🇮🇹,55
105173,24.29994371986771,85262.96042058847,26.0,46,Adrian Mannarino,FRA,🇫🇷,54
206909,21.989774655123927,77157.1040530664,25.0,47,Brandon Nakashima,USA,🇺🇸,58
202385,16.794196870024766,58927.006561490416,22.0,48,Jenson Brooksby,USA,🇺🇸,47
104918,21.536265649064475,75565.84438268238,19.0,49,Andy Murray,GBR,🇬🇧,46
144684,17.272263307770295,60604.43265884316,19.0,50,Alex Molcan,SVK,🇸🇰,46
144895,11.573868010870616,40610.06319603725,11.0,51,Corentin Moutet,FRA,🇫🇷,25
104792,12.665254050514388,44439.487896541716,8.0,52,Gael Monfils,FRA,🇫🇷,21
105676,26.2236493064947,92012.8045841919,25.0,53,David Goffin,BEL,🇧🇪,53
105936,18.996936477797256,66655.9174659553,17.0,54,Filip Krajinovic,SRB,🇷🇸,36
104926,24.83008096115188,87123.09109176099,24.0,55,Fabio Fognini,ITA,🇮🇹,43
144817,12.844180212139596,45067.29898996351,12.0,56,Marc Andrea Huesler,SUI,🇨🇭,23
106398,6.3766057569257795,22374.055287458876,6.0,57,Pedro Cachin,ARG,🇦🇷,11
144719,27.993222315383292,98221.83268555543,23.0,58,Jaume Munar,ESP,🇪🇸,43
106234,28.388138926363375,99607.5050047838,30.0,59,Aslan Karatsev,RUS,🇷🇺,46
126127,21.181640339092663,74321.54504944793,23.0,60,Benjamin Bonzi,FRA,🇫🇷,47
106218,20.204286744269027,70892.23419041769,27.0,61,Marcos Giron,USA,🇺🇸,46
124079,26.228131574447936,92028.5318401682,26.0,62,Pedro Martinez,ESP,🇪🇸,45
111456,27.131200734593616,95197.19555997764,27.0,63,Mackenzie Mcdonald,USA,🇺🇸,54
111460,8.8585030164584,31082.466724415437,11.0,64,Quentin Halys,FRA,🇫🇷,14
106005,4.882759125912235,17132.488161095564,4.0,65,Constant Lestienne,FRA,🇫🇷,11
200670,9.344551861787751,32787.90126943071,13.0,66,J J Wolf,USA,🇺🇸,28
123755,13.497333980288689,47359.06659750416,12.0,67,Daniel Elahi Galan,COL,🇨🇴,26
104755,19.42410446937455,68154.75252412123,19.0,68,Richard Gasquet,FRA,🇫🇷,45
144707,17.992012517694825,63129.86848313972,18.0,69,Mikael Ymer,SWE,🇸🇪,42
111513,22.184930103027117,77841.86001062146,24.0,70,Laslo Djere,SRB,🇷🇸,46
106329,22.566020383431415,79179.01888923305,18.0,71,Thiago Monteiro,BRA,🇧🇷,36
126523,22.606001714148164,79319.30426016901,16.0,72,Bernabe Zapata Miralles,ESP,🇪🇸,26
125802,17.187616015166892,60307.42461462068,21.0,73,Ilya Ivashka,BLR,🇧🇾,43
106148,21.663969295525288,76013.92735272032,18.0,74,Roberto Carballes Baena,ESP,🇪🇸,29
105948,19.185569404708826,67317.78738494327,18.0,75,Federico Coria,ARG,🇦🇷,33
106214,22.64516613887439,79456.7232942961,22.0,76,Oscar Otte,GER,🇩🇪,46
111794,22.595776498681463,79283.42631116304,15.0,77,Kamil Majchrzak,POL,🇵🇱,31
106331,11.533166541385247,40467.25102240438,11.0,78,Christopher Oconnell,AUS,🇦🇺,18
144869,20.207712392811302,70904.25400986423,14.0,79,Tomas Martin Etcheverry,ARG,🇦🇷,17
105583,21.307033386959414,74761.52065599794,21.0,80,Dusan Lajovic,SRB,🇷🇸,34
208103,18.458660628492048,64767.2302754107,17.0,81,Jiri Lehecka,CZE,🇨🇿,32
105311,22.064935445719534,77420.82612533169,21.0,82,Joao Sousa,POR,🇵🇹,35
126952,21.064399638822827,73910.17417130817,22.0,83,Soon Woo Kwon,KOR,🇰🇷,44
111442,14.22824519099914,49923.66733683909,16.0,84,Jordan Thompson,AUS,🇦🇺,28
106426,22.643611306908145,79451.26774353733,22.0,85,Cristian Garin,CHI,🇨🇱,41
200005,22.245221304162143,78053.40808477947,20.0,86,Ugo Humbert,FRA,🇫🇷,30
105916,20.20205623635046,70884.40784684375,18.0,87,Marton Fucsovics,HUN,🇭🇺,35
126128,6.629779421603189,23262.383935449783,6.0,88,Roman Safiullin,RUS,🇷🇺,16
105487,18.880492857309044,66247.3433589791,14.0,89,Facundo Bagnis,ARG,🇦🇷,22
106296,0.1930205597034441,677.2651217664705,3.0,90,Gregoire Barrere,FRA,🇫🇷,5
105932,26.9304377576859,94492.7640620558,28.0,91,Nikoloz Basilashvili,GEO,🇬🇪,44
106121,21.625412857222425,75878.64160428921,18.0,92,Taro Daniel,JPN,🇯🇵,32
106423,15.96135115927741,56004.74090974531,15.0,93,Thanasi Kokkinakis,AUS,🇦🇺,34
127157,17.734662272755315,62226.88516756252,21.0,94,Daniel Altmaier,GER,🇩🇪,26
134868,22.605259405637742,79316.6996689044,23.0,95,Tallon Griekspoor,NED,🇳🇱,43
210097,1.1053143707267743,3878.2960376378046,3.0,96,Ben Shelton,USA,🇺🇸,6
207830,7.64131846335415,26811.643731067183,4.0,97,Tomas Machac,CZE,🇨🇿,9
105577,3.5316337545487486,12391.697384381574,3.0,98,Vasek Pospisil,CAN,🇨🇦,9
111190,4.3010013881076565,15091.232940728622,4.0,99,Zhizhen Zhang,CHN,🇨🇳,9
126214,,,,100,Alejandro Tabilo,CHI,🇨🇱,33
