player,co2,km,tournaments,name,ioc,flag
104925,13.909267468060566,48804.44725635286,12.0,Novak Djokovic,SRB,🇷🇸
106421,24.16223363857286,84779.76715288726,19.0,Daniil Medvedev,RUS,🇷🇺
100644,25.77878358516836,90451.87222866094,20.0,Alexander Zverev,GER,🇩🇪
126774,25.57848281859552,89749.06252138782,23.0,Stefanos Tsitsipas,GRE,
126094,27.81810249278405,97607.37716766338,24.0,Andrey Rublev,RUS,🇷🇺
104745,7.433689254746583,26083.120192093273,7.0,Rafael Nadal,ESP,🇪🇸
126610,20.56633808085246,72162.58975737705,16.0,Matteo Berrettini,ITA,🇮🇹
134770,20.056380785597756,70373.26591437809,23.0,Casper Ruud,NOR,🇳🇴
128034,33.48407557699772,117487.98448069376,24.0,Hubert Hurkacz,POL,🇵🇱
206173,32.2217012320555,113058.60081422984,26.0,Jannik Sinner,ITA,🇮🇹
200000,27.71324181314881,97239.44495841688,24.0,Felix Auger Aliassime,CAN,🇨🇦
111815,26.466502877421703,92864.92237691824,25.0,Cameron Norrie,GBR,🇬🇧
106043,27.494445400651315,96471.73824789935,23.0,Diego Schwartzman,ARG,🇦🇷
133430,21.31180579883874,74778.26596083769,22.0,Denis Shapovalov,CAN,🇨🇦
106233,6.343615222406212,22258.299025986715,9.0,Dominic Thiem,AUT,🇦🇹
103819,1.8884493597304224,6626.13810431727,5.0,Roger Federer,SUI,🇨🇭
106426,14.826255022604949,52021.94744773666,18.0,Cristian Garin,CHI,🇨🇱
106234,27.602449633997526,96850.70047016678,22.0,Aslan Karatsev,RUS,🇷🇺
105138,22.5339534096432,79066.50319173055,24.0,Roberto Bautista Agut,ESP,🇪🇸
105807,22.546569143121435,79110.76892323309,20.0,Pablo Carreno Busta,ESP,🇪🇸
104792,25.932812751819142,90992.32544497943,18.0,Gael Monfils,FRA,🇫🇷
105932,34.20613064160491,120021.5110231751,29.0,Nikoloz Basilashvili,GEO,🇬🇪
126203,20.85533715762399,73176.62160569824,22.0,Taylor Fritz,USA,🇺🇸
104545,13.276426879812185,46583.95396425327,13.0,John Isner,USA,🇺🇸
105554,19.544947003457576,68578.7614156406,23.0,Daniel Evans,GBR,🇬🇧
124187,24.572170028277817,86218.14045009764,22.0,Reilly Opelka,USA,🇺🇸
132283,28.55861234228642,100205.65734135588,24.0,Lorenzo Sonego,ITA,🇮🇹
105777,15.65317590588185,54923.42423116439,18.0,Grigor Dimitrov,BUL,
111575,29.81057952162733,104598.52463728888,24.0,Karen Khachanov,RUS,🇷🇺
105227,21.755471567918512,76334.98795760881,21.0,Marin Cilic,CRO,🇭🇷
144750,19.10195560349843,67024.4056263103,23.0,Lloyd Harris,RSA,🇿🇦
207989,14.7077787352019,51606.24117614702,19.0,Carlos Alcaraz,ESP,🇪🇸
105583,28.50966981437797,100033.92917325602,26.0,Dusan Lajovic,SRB,🇷🇸
200282,35.11311139643461,123203.89963661268,25.0,Alex De Minaur,AUS,🇦🇺
