player,co2,km,tournaments,name,ioc,flag
200005,21.61191953321393,75831.29660776816,21.0,Ugo Humbert,FRA,🇫🇷
122330,33.16544788933078,116369.99259414306,29.0,Alexander Bublik,KAZ,🇰🇿
104926,22.61411724300168,79347.77980000588,23.0,Fabio Fognini,ITA,🇮🇹
126207,26.514822838827747,93034.46610114996,24.0,Frances Tiafoe,USA,🇺🇸
105676,20.359359918975237,71436.35059289556,16.0,David Goffin,BEL,🇧🇪
105916,25.526013786125684,89564.9606530726,24.0,Marton Fucsovics,HUN,🇭🇺
200624,15.7222552048997,55165.807736490184,19.0,Sebastian Korda,USA,🇺🇸
105936,24.28101160706478,85196.53195461327,22.0,Filip Krajinovic,SRB,🇷🇸
126205,29.43449346280978,103278.92443091156,24.0,Tommy Paul,USA,🇺🇸
105643,22.00519326500795,77211.20443862437,24.0,Federico Delbonis,ARG,🇦🇷
105077,23.59743499955367,82798.01754229356,26.0,Albert Ramos,ESP,🇪🇸
105332,33.043540059376035,115942.24582237205,29.0,Benoit Paire,FRA,🇫🇷
105453,21.43125751452344,75197.39478780153,17.0,Kei Nishikori,JPN,🇯🇵
125802,22.761186467478765,79863.81216659214,18.0,Ilya Ivashka,BLR,🇧🇾
105902,31.672186288902743,111130.47820667631,19.0,James Duckworth,AUS,🇦🇺
200221,25.08191014112569,88006.70224956381,23.0,Alejandro Davidovich Fokina,ESP,🇪🇸
105526,35.25278129849475,123693.9694684026,28.0,Jan Lennard Struff,GER,🇩🇪
111513,31.121140947473425,109196.98578060852,26.0,Laslo Djere,SRB,🇷🇸
126952,27.07751394575458,95008.82086229676,16.0,Soon Woo Kwon,KOR,🇰🇷
136440,24.72052110238211,86738.67053467408,24.0,Dominik Koepfer,GER,🇩🇪
111456,24.63327730357009,86432.5519423512,19.0,Mackenzie Mcdonald,USA,🇺🇸
202385,6.24235086603057,21902.985494844103,7.0,Jenson Brooksby,USA,🇺🇸
122298,10.875104558121327,38158.26160744326,10.0,Botic Van De Zandschulp,NED,🇳🇱
126239,9.033145218944613,31695.246382261797,16.0,Arthur Rinderknech,FRA,🇫🇷
207518,24.499572019313955,85963.41059408404,21.0,Lorenzo Musetti,ITA,🇮🇹
124079,24.66814285585199,86554.88721351577,19.0,Pedro Martinez,ESP,🇪🇸
200615,17.539156745459096,61540.900861259994,22.0,Alexei Popyrin,AUS,🇦🇺
126149,34.21712802080978,120060.0983186308,23.0,Gianluca Mager,ITA,🇮🇹
105948,23.554278265383378,82646.59040485394,18.0,Federico Coria,ARG,🇦🇷
126127,2.339401437105792,8208.426095108041,7.0,Benjamin Bonzi,FRA,🇫🇷
134868,8.828774075400945,30978.154650529636,6.0,Tallon Griekspoor,NED,🇳🇱
106218,30.16278376057779,105834.32898448348,20.0,Marcos Giron,USA,🇺🇸
200384,4.7884930841487,16801.73011982,7.0,Hugo Gaston,FRA,🇫🇷
206909,10.121411827345298,35513.7257099835,11.0,Brandon Nakashima,USA,🇺🇸
200175,41.437073663573806,145393.24092482036,25.0,Miomir Kecmanovic,SRB,🇷🇸
105683,4.927752511326046,17290.35968886332,5.0,Milos Raonic,CAN,🇨🇦
105173,34.160569222945085,119861.64639629856,25.0,Adrian Mannarino,FRA,🇫🇷
105357,30.958922739167264,108627.79908479744,26.0,John Millman,AUS,🇦🇺
106432,4.911382525801436,17232.921143162934,3.0,Borna Coric,CRO,🇭🇷
105550,13.284241399487565,46611.37333153531,18.0,Guido Pella,ARG,🇦🇷
111442,18.520517117507666,64984.27058774619,21.0,Jordan Thompson,AUS,🇦🇺
105487,15.0657520629884,52862.287940310176,12.0,Facundo Bagnis,ARG,🇦🇷
144719,22.451524731858377,78777.27976090657,19.0,Jaume Munar,ESP,🇪🇸
105882,20.265566572714793,71107.25113233259,20.0,Stefano Travaglia,ITA,🇮🇹
106148,20.25154910284474,71058.0670275254,17.0,Roberto Carballes Baena,ESP,🇪🇸
104731,13.166000352772135,46196.492465867144,14.0,Kevin Anderson,RSA,🇿🇦
106415,26.60663161404689,93356.6021545505,22.0,Yoshihito Nishioka,JPN,🇯🇵
104527,6.315307055906912,22158.972125989167,4.0,Stan Wawrinka,SUI,🇨🇭
106210,20.78681135194949,72936.18018227891,15.0,Jiri Vesely,CZE,🇨🇿
127157,6.112231936756592,21446.427848268744,8.0,Daniel Altmaier,GER,🇩🇪
105449,8.0170610924161,28130.038920758245,12.0,Steve Johnson,USA,🇺🇸
105376,7.6705197471823405,26914.10437607839,9.0,Peter Gojowczyk,GER,🇩🇪
104755,12.936031209758424,45389.58319213483,17.0,Richard Gasquet,FRA,🇫🇷
144684,3.9101880101455455,13719.957930335248,5.0,Alex Molcan,SVK,🇸🇰
106329,23.558265144364743,82660.57945391136,16.0,Thiago Monteiro,BRA,🇧🇷
207678,7.080555369440603,24844.053927861765,5.0,Juan Manuel Cerundolo,ARG,🇦🇷
104665,31.393807481071924,110153.7104599015,18.0,Pablo Andujar,ESP,🇪🇸
144895,10.382650442468906,36430.35242971546,13.0,Corentin Moutet,FRA,🇫🇷
106401,11.427163989551564,40095.31224404058,8.0,Nick Kyrgios,AUS,🇦🇺
144707,21.57517342815923,75702.36290582186,18.0,Mikael Ymer,SWE,🇸🇪
200325,35.005346555615944,122825.77738812612,22.0,Emil Ruusuvuori,FIN,🇫🇮
105815,17.376389946537383,60969.78928609608,16.0,Tennys Sandgren,USA,🇺🇸
104655,9.013947181345452,31627.884846826146,11.0,Pablo Cuevas,URU,
105967,10.858826354055202,38101.14510194808,8.0,Henri Laaksonen,SUI,🇨🇭
202104,2.93075067631293,10283.335706361158,3.0,Sebastian Baez,ARG,🇦🇷
106065,,,,Marco Cecchinato,ITA,🇮🇹
