player,co2,km,tournaments,name,ioc,flag
103819,26.75021808600737,93860.41433686797,17.0,Roger Federer,SUI,🇨🇭
104745,17.607655227912787,61781.24641372908,16.0,Rafael Nadal,ESP,🇪🇸
103786,33.29980912711097,116841.43553372267,32.0,Nikolay Davydenko,RUS,🇷🇺
103484,26.240808825761665,92073.01342372512,26.0,James Blake,USA,🇺🇸
103344,28.557134358102893,100200.47143193996,22.0,Ivan Ljubicic,CRO,🇭🇷
104053,18.933420385658355,66433.05398476617,18.0,Andy Roddick,USA,🇺🇸
103990,26.58512453778935,93281.13872908546,27.0,Tommy Robredo,ESP,🇪🇸
103900,16.755770952193814,58792.1787796274,16.0,David Nalbandian,ARG,🇦🇷
104339,23.763138810192498,83379.43442172804,21.0,Mario Ancic,CRO,🇭🇷
103602,18.393830498395623,64539.756134721494,21.0,Fernando Gonzalez,CHI,🇨🇱
103163,22.764971611013536,79877.0933719773,22.0,Tommy Haas,GER,🇩🇪
104571,26.39314941117535,92607.54179359772,21.0,Marcos Baghdatis,CYP,🇨🇾
104607,25.45822768516034,89327.11468477313,25.0,Tomas Berdych,CZE,🇨🇿
103970,22.201886215322336,77901.3551414819,26.0,David Ferrer,ESP,🇪🇸
103813,28.724093813731844,100786.29408326963,28.0,Jarkko Nieminen,FIN,🇫🇮
104925,17.184175397932904,60295.35227344879,19.0,Novak Djokovic,SRB,🇷🇸
104918,28.5819457064107,100287.52879442356,26.0,Andy Murray,GBR,🇬🇧
104755,21.59897963641182,75785.89346109412,23.0,Richard Gasquet,FRA,🇫🇷
103285,17.75272095112626,62290.248951320216,16.0,Radek Stepanek,CZE,🇨🇿
103720,13.828080040000408,48519.579087720726,15.0,Lleyton Hewitt,AUS,🇦🇺
103103,25.827297662396077,90622.09706103888,26.0,Dominik Hrbaty,SVK,🇸🇰
104098,34.13867024835606,119784.80788896864,32.0,Dmitry Tursunov,RUS,🇷🇺
103507,24.25079667207691,85090.51463886634,23.0,Juan Carlos Ferrero,ESP,🇪🇸
104022,23.96363739904879,84082.93824227645,22.0,Mikhail Youzhny,RUS,🇷🇺
104417,14.598434357489891,51222.57669294698,22.0,Robin Soderling,SWE,🇸🇪
103498,24.942741340287952,87518.390667677,23.0,Marat Safin,RUS,🇷🇺
104076,17.595860338055527,61739.86083528256,22.0,Jose Acasuso,ARG,🇦🇷
103206,22.12096755733038,77617.43002572062,21.0,Sebastien Grosjean,FRA,🇫🇷
102860,16.093234723912172,56467.49025934097,20.0,Agustin Calleri,ARG,🇦🇷
104527,24.35467031142661,85454.9835488653,24.0,Stan Wawrinka,SUI,🇨🇭
104019,18.501092406821083,64916.11370814415,22.0,Kristof Vliegen,BEL,🇧🇪
104597,16.560979969083192,58108.70164590593,21.0,Nicolas Almagro,ESP,🇪🇸
103428,18.76124212739068,65828.91974523045,26.0,Juan Ignacio Chela,ARG,🇦🇷
103292,16.710874911227506,58634.648811324594,21.0,Gaston Gaudio,ARG,🇦🇷
104269,20.190435168923976,70843.63217166306,26.0,Fernando Verdasco,ESP,🇪🇸
103694,24.38394802494428,85557.71236822553,21.0,Olivier Rochus,BEL,🇧🇪
103598,17.463127132775178,61274.1302904392,24.0,Xavier Malisse,BEL,🇧🇪
103835,23.00218021707874,80709.40427045172,26.0,Filippo Volandri,ITA,🇮🇹
102450,30.993518949030683,108749.18929484452,20.0,Tim Henman,GBR,🇬🇧
103898,22.874150429726633,80260.1769464092,22.0,Julien Benneteau,FRA,🇫🇷
103781,22.310771995714937,78283.41051128045,26.0,Jurgen Melzer,AUT,🇦🇹
103096,21.60316613422843,75800.58292711731,22.0,Arnaud Clement,FRA,🇫🇷
