player,co2,km,tournaments,name,ioc,flag
104925,19.76492375644171,69350.6096717253,18.0,Novak Djokovic,SRB,🇷🇸
104745,8.395657130052067,29458.446070358124,9.0,Rafael Nadal,ESP,🇪🇸
103819,20.16462223572443,70753.06047622608,14.0,Roger Federer,SUI,🇨🇭
100644,24.097485871444952,84552.58200507003,22.0,Alexander Zverev,GER,🇩🇪
105223,17.387426908815048,61008.515469526494,15.0,Juan Martin del Potro,ARG,🇦🇷
104731,24.01206792954874,84252.86992824117,20.0,Kevin Anderson,RSA,🇿🇦
105227,23.445770976231294,82265.8630744958,19.0,Marin Cilic,CRO,🇭🇷
106233,24.466864185992183,85848.64626663923,23.0,Dominic Thiem,AUT,🇦🇹
105453,21.541858709561463,75585.46915635598,20.0,Kei Nishikori,JPN,🇯🇵
104545,20.59610846031262,72267.0472291671,22.0,John Isner,USA,🇺🇸
111575,27.848395422305465,97713.66814844024,26.0,Karen Khachanov,RUS,🇷🇺
106432,25.77983728012789,90455.5694039575,20.0,Borna Coric,CRO,🇭🇷
104926,23.91468711331522,83911.1828537376,25.0,Fabio Fognini,ITA,🇮🇹
106378,20.15801953835038,70729.89311701892,23.0,Kyle Edmund,GBR,🇬🇧
126774,32.34808437271965,113502.05043059526,29.0,Stefanos Tsitsipas,GRE,
106421,28.50433505417924,100015.2107164184,27.0,Daniil Medvedev,RUS,🇷🇺
106043,23.484237274527334,82400.83254220118,27.0,Diego Schwartzman,ARG,🇦🇷
105683,19.60341181827984,68783.90111677138,18.0,Milos Raonic,CAN,🇨🇦
105777,24.414259452612708,85664.06825478145,20.0,Grigor Dimitrov,BUL,
106065,21.963409984485573,77064.5964367915,26.0,Marco Cecchinato,ITA,🇮🇹
105932,27.920565353730066,97966.8959780002,27.0,Nikoloz Basilashvili,GEO,🇬🇪
105676,21.62230608972844,75867.7406657138,18.0,David Goffin,BEL,🇧🇪
105807,25.804021031281557,90540.42467116336,21.0,Pablo Carreno Busta,ESP,🇪🇸
105138,28.94027466658051,101544.82339151058,21.0,Roberto Bautista Agut,ESP,🇪🇸
111202,22.668990527288692,79540.31763960943,19.0,Hyeon Chung,KOR,🇰🇷
104755,28.31113261919901,99337.307435786,24.0,Richard Gasquet,FRA,🇫🇷
133430,24.18591305319272,84862.8528182201,27.0,Denis Shapovalov,CAN,🇨🇦
104269,27.78401592174873,97487.7751640306,28.0,Fernando Verdasco,ESP,🇪🇸
104792,26.464464661414684,92857.77074180591,21.0,Gael Monfils,FRA,🇫🇷
104468,25.9558824375293,91073.27171062912,26.0,Gilles Simon,FRA,🇫🇷
200282,17.899350308669607,62804.73792515651,20.0,Alex De Minaur,AUS,🇦🇺
106298,21.50752397881113,75464.99641688117,21.0,Lucas Pouille,FRA,🇫🇷
105449,22.48057574277361,78879.21313253896,23.0,Steve Johnson,USA,🇺🇸
104259,22.38014825851196,78526.83599477883,23.0,Philipp Kohlschreiber,GER,🇩🇪
106401,18.958695178468265,66521.73746830972,15.0,Nick Kyrgios,AUS,🇦🇺
105916,23.193764436307887,81381.62960108032,25.0,Marton Fucsovics,HUN,🇭🇺
104312,18.662731638894677,65483.26890840236,22.0,Andreas Seppi,ITA,🇮🇹
105357,15.889375717472548,55752.1954999037,19.0,John Millman,AUS,🇦🇺
126207,24.02735014410455,84306.49173370015,24.0,Frances Tiafoe,USA,🇺🇸
104871,27.818687562439603,97609.43004364774,21.0,Jeremy Chardy,FRA,🇫🇷
105373,8.430537327396557,29580.83272770722,10.0,Martin Klizan,SVK,🇸🇰
105173,29.298325155885728,102801.14089784469,29.0,Adrian Mannarino,FRA,🇫🇷
111797,24.109234713106467,84593.80601089988,22.0,Nicolas Jarry,CHI,🇨🇱
105311,27.489168899916105,96453.22421023191,27.0,Joao Sousa,POR,🇵🇹
104291,24.753442235686197,86854.18328310948,23.0,Malek Jaziri,TUN,🇹🇳
105051,20.606846041359265,72304.72295213779,21.0,Matthew Ebden,AUS,🇦🇺
106000,33.34966566579116,117016.37075716196,32.0,Damir Dzumhur,BIH,🇧🇦
105583,24.565163346730824,86193.55560256429,24.0,Dusan Lajovic,SRB,🇷🇸
126203,21.11217281505697,74077.79935107709,20.0,Taylor Fritz,USA,🇺🇸
104898,31.454908973833703,110368.1016625744,29.0,Robin Haase,NED,🇳🇱
105023,23.654658662625675,82998.80232500238,21.0,Sam Querrey,USA,🇺🇸
105332,30.31866869157657,106381.2936546546,28.0,Benoit Paire,FRA,🇫🇷
105062,26.19118588012783,91898.89782500992,21.0,Mikhail Kukushkin,KAZ,🇰🇿
126610,20.998628391673588,73679.39786552137,20.0,Matteo Berrettini,ITA,🇮🇹
