ranking_date,rank,player,points,date,path
20201228,1,104925,12030.0,2020-12-28,"Atp Cup -> Melbourne, Melbourne -> Dubai, Dubai -> Cincinnati, Cincinnati -> Us Open, Us Open -> Rome, Rome -> Paris 1, Paris 1 -> Vienna, Vienna -> London 2"
20201228,2,104745,9850.0,2020-12-28,"Atp Cup -> Melbourne, Melbourne -> Acapulco, Acapulco -> Rome, Rome -> Paris 1, Paris 1 -> Paris, Paris -> London 2"
20201228,3,106233,9125.0,2020-12-28,"Atp Cup -> Melbourne, Melbourne -> ATP Rio de Janeiro, ATP Rio de Janeiro -> Cincinnati, Cincinnati -> Us Open, Us Open -> Paris 1, Paris 1 -> Vienna, Vienna -> London 2"
20201228,4,106421,8470.0,2020-12-28,"Atp Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Marseille, Marseille -> Cincinnati, Cincinnati -> Us Open, Us Open -> Hamburg, Hamburg -> Paris 1, Paris 1 -> St Petersburg, St Petersburg -> Vienna, Vienna -> Paris, Paris -> London 2"
20201228,5,103819,6630.0,2020-12-28,
20201228,6,126774,5925.0,2020-12-28,"Atp Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Marseille, Marseille -> Dubai, Dubai -> Cincinnati, Cincinnati -> Us Open, Us Open -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Vienna, Vienna -> Paris, Paris -> London 2"
20201228,7,100644,5525.0,2020-12-28,"Atp Cup -> Melbourne, Melbourne -> Acapulco, Acapulco -> Cincinnati, Cincinnati -> Us Open, Us Open -> Paris 1, Paris 1 -> Cologne 1, Cologne 1 -> Cologne 2, Cologne 2 -> Paris, Paris -> London 2"
20201228,8,126094,4119.0,2020-12-28,"Doha -> Adelaide, Adelaide -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Dubai, Dubai -> Cincinnati, Cincinnati -> Us Open, Us Open -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> St Petersburg, St Petersburg -> Vienna, Vienna -> Paris, Paris -> London 2"
20201228,9,106043,3455.0,2020-12-28,"Atp Cup -> Melbourne, Melbourne -> Cordoba, Cordoba -> Buenos Aires, Buenos Aires -> Cincinnati, Cincinnati -> Us Open, Us Open -> Kitzbuhel, Kitzbuhel -> Rome, Rome -> Paris 1, Paris 1 -> Cologne 2, Cologne 2 -> Paris, Paris -> London 2"
20201228,10,126610,3075.0,2020-12-28,"Melbourne -> Cincinnati, Cincinnati -> Us Open, Us Open -> Rome, Rome -> Paris 1, Paris 1 -> Paris"
20201228,11,104792,2860.0,2020-12-28,"Atp Cup -> Melbourne, Melbourne -> Montpellier, Montpellier -> Rotterdam, Rotterdam -> Dubai, Dubai -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Vienna"
20201228,12,133430,2830.0,2020-12-28,"Atp Cup -> Auckland, Auckland -> Melbourne, Melbourne -> Montpellier, Montpellier -> Rotterdam, Rotterdam -> Marseille, Marseille -> Cincinnati, Cincinnati -> Us Open, Us Open -> Rome, Rome -> Paris 1, Paris 1 -> St Petersburg, St Petersburg -> Cologne 2, Cologne 2 -> Vienna, Vienna -> Sofia"
