ranking_date,rank,player,points,date,path
20231225,1,104925,11245.0,2023-12-25,"Adelaide 1 -> Melbourne, Melbourne -> Dubai, Dubai -> Monte Carlo, Monte Carlo -> Banja Luka, Banja Luka -> Rome, Rome -> Paris 1, Paris 1 -> London, London -> Cincinnati, Cincinnati -> Us Open, Us Open -> Paris, Paris -> London 2"
20231225,2,207989,8855.0,2023-12-25,"Buenos Aires -> Rio De Janeiro, Rio De Janeiro -> Indian Wells, Indian Wells -> Miami, Miami -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Beijing, Beijing -> Shanghai, Shanghai -> Paris, Paris -> London 2"
20231225,3,106421,7600.0,2023-12-25,"Adelaide 1 -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Doha, Doha -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> s Hertogenbosch, s Hertogenbosch -> Halle, Halle -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Beijing, Beijing -> Shanghai, Shanghai -> Vienna, Vienna -> Paris, Paris -> London 2"
20231225,4,206173,6490.0,2023-12-25,"Adelaide 1 -> Melbourne, Melbourne -> Montpellier, Montpellier -> Rotterdam, Rotterdam -> Marseille, Marseille -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Paris 1, Paris 1 -> s Hertogenbosch, s Hertogenbosch -> Halle, Halle -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Beijing, Beijing -> Shanghai, Shanghai -> Vienna, Vienna -> Paris, Paris -> London 2"
20231225,5,126094,4805.0,2023-12-25,"Adelaide 1 -> Adelaide 2, Adelaide 2 -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Doha, Doha -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Banja Luka, Banja Luka -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Bastad, Bastad -> Hamburg, Hamburg -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Beijing, Beijing -> Shanghai, Shanghai -> Vienna, Vienna -> Paris, Paris -> London 2"
20231225,6,126774,4235.0,2023-12-25,"United Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Stuttgart, Stuttgart -> Halle, Halle -> Mallorca, Mallorca -> London, London -> Los Cabos, Los Cabos -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Beijing, Beijing -> Shanghai, Shanghai -> Antwerp, Antwerp -> Vienna, Vienna -> Paris, Paris -> London 2"
20231225,7,100644,3985.0,2023-12-25,"United Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Doha, Doha -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Munich, Munich -> Madrid, Madrid -> Rome, Rome -> Geneva, Geneva -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Bastad, Bastad -> Hamburg, Hamburg -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Chengdu, Chengdu -> Beijing, Beijing -> Shanghai, Shanghai -> Tokyo, Tokyo -> Vienna, Vienna -> Paris, Paris -> London 2"
20231225,8,208029,3660.0,2023-12-25,"Adelaide 1 -> Melbourne, Melbourne -> Montpellier, Montpellier -> Rotterdam, Rotterdam -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Munich, Munich -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Beijing, Beijing -> Shanghai, Shanghai -> Stockholm, Stockholm -> Basel, Basel -> Paris, Paris -> London 2"
20231225,9,128034,3245.0,2023-12-25,"United Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Marseille, Marseille -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Estoril, Estoril -> Monte Carlo, Monte Carlo -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Stuttgart, Stuttgart -> Halle, Halle -> London, London -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Shanghai, Shanghai -> Tokyo, Tokyo -> Basel, Basel -> Paris, Paris -> London 2"
20231225,10,126203,3100.0,2023-12-25,"United Cup -> Melbourne, Melbourne -> Dallas, Dallas -> Delray Beach, Delray Beach -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Munich, Munich -> Madrid, Madrid -> Rome, Rome -> Geneva, Geneva -> Paris 1, Paris 1 -> Stuttgart, Stuttgart -> Queen's Club, Queen's Club -> Eastbourne, Eastbourne -> London, London -> Atlanta, Atlanta -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Shanghai, Shanghai -> Tokyo, Tokyo -> Basel, Basel -> Paris"
