ranking_date,rank,player,points,date,path
20181231,1,104925,9045.0,2018-12-31,"Melbourne -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Laver Cup, Laver Cup -> Shanghai, Shanghai -> Paris, Paris -> London 2, London 2 -> Doha"
20181231,2,104745,7480.0,2018-12-31,"Melbourne -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> London, London -> Canada, Canada -> New York"
20181231,3,103819,6420.0,2018-12-31,"Melbourne -> Rotterdam, Rotterdam -> Indian Wells, Indian Wells -> Miami, Miami -> Stuttgart, Stuttgart -> Halle, Halle -> London, London -> Cincinnati, Cincinnati -> New York, New York -> Laver Cup, Laver Cup -> Shanghai, Shanghai -> Basel, Basel -> Paris, Paris -> London 2"
20181231,4,100644,6385.0,2018-12-31,"Melbourne -> Rotterdam, Rotterdam -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Munich, Munich -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Laver Cup, Laver Cup -> Beijing, Beijing -> Shanghai, Shanghai -> Basel, Basel -> Paris, Paris -> London 2"
20181231,5,105223,5300.0,2018-12-31,"Auckland -> Melbourne, Melbourne -> Delray Beach, Delray Beach -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> London, London -> Los Cabos, Los Cabos -> Cincinnati, Cincinnati -> New York, New York -> Beijing, Beijing -> Shanghai"
20181231,6,104731,4710.0,2018-12-31,"Pune -> Melbourne, Melbourne -> New York, New York -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Estoril, Estoril -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Laver Cup, Laver Cup -> Tokyo, Tokyo -> Shanghai, Shanghai -> Vienna, Vienna -> Paris, Paris -> London 2"
20181231,7,105227,4250.0,2018-12-31,"Pune -> Melbourne, Melbourne -> Rio de Janeiro, Rio de Janeiro -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Istanbul, Istanbul -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Tokyo, Tokyo -> Shanghai, Shanghai -> Basel, Basel -> Paris, Paris -> London 2"
20181231,8,106233,4095.0,2018-12-31,"Doha -> Melbourne, Melbourne -> Buenos Aires, Buenos Aires -> Rio de Janeiro, Rio de Janeiro -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Lyon, Lyon -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Hamburg, Hamburg -> Kitzbuhel, Kitzbuhel -> Canada, Canada -> New York, New York -> St. Petersburg, St. Petersburg -> Shanghai, Shanghai -> Vienna, Vienna -> Paris, Paris -> London 2"
20181231,9,105453,3590.0,2018-12-31,"New York -> Acapulco, Acapulco -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> Metz, Metz -> Tokyo, Tokyo -> Shanghai, Shanghai -> Vienna, Vienna -> Paris, Paris -> London 2, London 2 -> Brisbane"
20181231,10,104545,3155.0,2018-12-31,"Auckland -> Melbourne, Melbourne -> New York, New York -> Delray Beach, Delray Beach -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Houston, Houston -> Madrid, Madrid -> Rome, Rome -> Lyon, Lyon -> Paris 1, Paris 1 -> London, London -> Atlanta, Atlanta -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> Laver Cup, Laver Cup -> Stockholm, Stockholm -> Vienna, Vienna -> Paris, Paris -> London 2"
