id,date,venue,name,winner,cat,coords,from,to,from_dt,to_dt,idx
47,"6 - 12 August, 2024","Montreal, Canada",National Bank Open Presented by Rogers,,ATP 1000,"(45.5031824, -73.5698065)","06 August, 2024","12 August, 2024",2024-08-06,2024-08-12,29
48,"12 - 19 August, 2024","Cincinnati, United States",Cincinnati Open,,ATP 1000,"(39.1014537, -84.5124602)","12 August, 2024","19 August, 2024",2024-08-12,2024-08-19,30
49,"18 - 24 August, 2024","Winson-Salem, United States",Winston-Salem Open,,ATP 250,"(None, None)","18 August, 2024","24 August, 2024",2024-08-18,2024-08-24,31
50,"26 August - 8 September, 2024","New York, United States",US Open,,Grand Slam,"(40.7127281, -74.0060152)","26 August, 2024","08 September, 2024",2024-08-26,2024-09-08,32
51,"18 - 24 September, 2024","Chengdu, China",Chengdu Open,,ATP 250,"(30.7001324, 104.0708278)","18 September, 2024","24 September, 2024",2024-09-18,2024-09-24,33
52,"18 - 24 September, 2024","Zhuhai, China",Huafa Properties Zhuhai Championships,,ATP 250,"(22.273734, 113.5721327)","18 September, 2024","24 September, 2024",2024-09-18,2024-09-24,33
53,"25 September - 1 October, 2024","Tokyo, Japan",Kinoshita Group Japan Open Tennis Championships,,ATP 500,"(35.6821936, 139.762221)","25 September, 2024","01 October, 2024",2024-09-25,2024-10-01,34
54,"26 September - 2 October, 2024","Beijing, China",China Open,,ATP 500,"(39.9057136, 116.3912972)","26 September, 2024","02 October, 2024",2024-09-26,2024-10-02,35
55,"2 - 13 October, 2024","Shanghai, China",Rolex Shanghai Masters,,ATP 1000,"(31.2312707, 121.4700152)","02 October, 2024","13 October, 2024",2024-10-02,2024-10-13,36
56,"14 - 20 October, 2024","Almaty, Kazakhstan",Almaty Open,,ATP 250,"(43.2363924, 76.9457275)","14 October, 2024","20 October, 2024",2024-10-14,2024-10-20,37
57,"14 - 20 October, 2024","Stockholm, Sweden",BNP Paribas Nordic Open,,ATP 250,"(59.3251172, 18.0710935)","14 October, 2024","20 October, 2024",2024-10-14,2024-10-20,37
58,"14 - 20 October, 2024","Antwerp, Belgium",European Open,,ATP 250,"(51.2211097, 4.3997081)","14 October, 2024","20 October, 2024",2024-10-14,2024-10-20,37
59,"21 - 27 October, 2024","Vienna, Austria",Erste Bank Open,,ATP 500,"(48.2083537, 16.3725042)","21 October, 2024","27 October, 2024",2024-10-21,2024-10-27,38
60,"21 - 27 October, 2024","Basel, Switzerland",Swiss Indoors Basel,,ATP 500,"(47.5581077, 7.5878261)","21 October, 2024","27 October, 2024",2024-10-21,2024-10-27,38
61,"28 October - 3 November, 2024","Paris, France",Rolex Paris Masters,,ATP 1000,"(48.8534951, 2.3483915)","28 October, 2024","03 November, 2024",2024-10-28,2024-11-03,39
62,"3 - 9 November, 2024","Metz, France",Moselle Open,,ATP 250,"(49.1196964, 6.1763552)","03 November, 2024","09 November, 2024",2024-11-03,2024-11-09,40
63,"3 - 9 November, 2024","Gijon, Spain",Watergen Gijon Open,,ATP 250,"(43.5449422, -5.66275)","03 November, 2024","09 November, 2024",2024-11-03,2024-11-09,40
64,"10 - 17 November, 2024","Turin, Italy",Nitto ATP Finals,,ATP Finals,"(45.0677551, 7.6824892)","10 November, 2024","17 November, 2024",2024-11-10,2024-11-17,41
65,"18 - 22 December, 2024","Jeddah, Saudi Arabia",Next Gen ATP Finals presented by PIF,,nextgen,"(21.5810088, 39.1653612)","18 December, 2024","22 December, 2024",2024-12-18,2024-12-22,42
