id,date,venue,name,winner,cat,coords,from,to,from_dt,to_dt,idx
0,"31 December, 2023 - 7 January, 2024","Brisbane, Australia",Brisbane International presented by Evie,Grigor Dimitrov,ATP 250,"(-27.4689682, 153.0234991)","31 December, 2023","07 January, 2024",2023-12-31,2024-01-07,0
1,"1 - 7 January, 2024","Hong Kong, Hong Kong",Bank of China Hong Kong Tennis Open,Andrey Rublev,ATP 250,"(22.2793278, 114.1628131)","01 January, 2024","07 January, 2024",2024-01-01,2024-01-07,1
2,"8 - 13 January, 2024","Adelaide, Australia",Adelaide International,Jiri Lehecka,ATP 250,"(-34.9281805, 138.5999312)","08 January, 2024","13 January, 2024",2024-01-08,2024-01-13,2
3,"8 - 13 January, 2024","Auckland, New Zealand",ASB Classic,Alejandro Tabilo,ATP 250,"(-36.852095, 174.7631803)","08 January, 2024","13 January, 2024",2024-01-08,2024-01-13,2
4,"14 - 28 January, 2024","Melbourne, Australia",Australian Open,Jannik Sinner,Grand Slam,"(-37.8142454, 144.9631732)","14 January, 2024","28 January, 2024",2024-01-14,2024-01-28,3
5,"29 January - 4 February, 2024","Montpellier, France",Open Sud de France – Montpellier,Alexander Bublik,ATP 250,"(43.6112422, 3.8767337)","29 January, 2024","04 February, 2024",2024-01-29,2024-02-04,4
6,"5 - 11 February, 2024","Dallas, United States",Dallas Open,Tommy Paul,ATP 250,"(32.7762719, -96.7968559)","05 February, 2024","11 February, 2024",2024-02-05,2024-02-11,5
7,"5 - 11 February, 2024","Marseille, France",Open 13 Provence,Ugo Humbert,ATP 250,"(43.2961743, 5.3699525)","05 February, 2024","11 February, 2024",2024-02-05,2024-02-11,5
8,"5 - 11 February, 2024","Cordoba, Argentina",Cordoba Open,Luciano Darderi,ATP 250,"(-31.4166867, -64.1834193)","05 February, 2024","11 February, 2024",2024-02-05,2024-02-11,5
9,"12 - 18 February, 2024","Rotterdam, Netherlands",ABN AMRO Open,Jannik Sinner,ATP 500,"(51.9244424, 4.47775)","12 February, 2024","18 February, 2024",2024-02-12,2024-02-18,6
10,"12 - 18 February, 2024","Delray Beach, United States",Delray Beach Open,Taylor Fritz,ATP 250,"(26.4614625, -80.0728201)","12 February, 2024","18 February, 2024",2024-02-12,2024-02-18,6
11,"12 - 18 February, 2024","Buenos Aires, Argentina",IEB+ Argentina Open,Facundo Diaz Acosta,ATP 250,"(-34.6037181, -58.38153)","12 February, 2024","18 February, 2024",2024-02-12,2024-02-18,6
12,"19 - 25 February, 2024","Rio de Janeiro, Brazil",Rio Open presented by Claro,Sebastian Baez,ATP 500,"(-22.9110137, -43.2093727)","19 February, 2024","25 February, 2024",2024-02-19,2024-02-25,8
13,"19 - 24 February, 2024","Doha, Qatar",Qatar ExxonMobil Open,Karen Khachanov,ATP 250,"(25.2856329, 51.5264162)","19 February, 2024","24 February, 2024",2024-02-19,2024-02-24,7
14,"19 - 24 February, 2024","Los Cabos, Mexico",Mifel Tennis Open by Telcel Oppo,Jordan Thompson,ATP 250,"(21.166121, -100.936442)","19 February, 2024","24 February, 2024",2024-02-19,2024-02-24,7
15,"26 February - 2 March, 2024","Dubai, United Arab Emirates",Dubai Duty Free Tennis Championships,Ugo Humbert,ATP 500,"(25.074282349999997, 55.18853865430702)","26 February, 2024","02 March, 2024",2024-02-26,2024-03-02,9
16,"26 February - 2 March, 2024","Acapulco, Mexico",Abierto Mexicano Telcel presentado por HSBC,Alex de Minaur,ATP 500,"(16.8680495, -99.8940182)","26 February, 2024","02 March, 2024",2024-02-26,2024-03-02,9
17,"26 February - 3 March, 2024","Santiago, Chile",Movistar Chile Open,Sebastian Baez,ATP 250,"(-33.4377756, -70.6504502)","26 February, 2024","03 March, 2024",2024-02-26,2024-03-03,10
18,"6 - 17 March, 2024","Indian Wells, United States",BNP Paribas Open,Carlos Alcaraz,ATP 1000,"(33.7217965, -116.338303)","06 March, 2024","17 March, 2024",2024-03-06,2024-03-17,11
19,"20 - 31 March, 2024","Miami, United States",Miami Open presented by Itau,,ATP 1000,"(25.7741728, -80.19362)","20 March, 2024","31 March, 2024",2024-03-20,2024-03-31,12
20,"1 - 7 April, 2024","Houston, United States",Fayez Sarofim & Co. U.S. Men's Clay Court Championship,,ATP 250,"(29.7589382, -95.3676974)","01 April, 2024","07 April, 2024",2024-04-01,2024-04-07,13
21,"1 - 7 April, 2024","Marrakech, Morocco",Grand Prix Hassan II,,ATP 250,"(31.6258257, -7.9891608)","01 April, 2024","07 April, 2024",2024-04-01,2024-04-07,13
22,"1 - 7 April, 2024","Estoril, Portugal",Millennium Estoril Open,,ATP 250,"(38.70957065, -9.390136815849147)","01 April, 2024","07 April, 2024",2024-04-01,2024-04-07,13
23,"7 - 14 April, 2024","Monte-Carlo, Monaco",Rolex Monte-Carlo Masters,,ATP 1000,"(43.7402961, 7.426559)","07 April, 2024","14 April, 2024",2024-04-07,2024-04-14,14
24,"15 - 21 April, 2024","Barcelona, Spain",Barcelona Open Banc Sabadell,,ATP 500,"(41.3828939, 2.1774322)","15 April, 2024","21 April, 2024",2024-04-15,2024-04-21,15
25,"15 - 21 April, 2024","Munich, Germany",BMW Open,,ATP 250,"(48.1371079, 11.5753822)","15 April, 2024","21 April, 2024",2024-04-15,2024-04-21,15
26,"15 - 21 April, 2024","Bucharest, Romania",Tiriac Open,,ATP 250,"(44.4361414, 26.1027202)","15 April, 2024","21 April, 2024",2024-04-15,2024-04-21,15
27,"24 April - 5 May, 2024","Madrid, Spain",Mutua Madrid Open,,ATP 1000,"(40.4167047, -3.7035825)","24 April, 2024","05 May, 2024",2024-04-24,2024-05-05,16
28,"8 - 19 May, 2024","Rome, Italy",Internazionali BNL d'Italia,,ATP 1000,"(41.8933203, 12.4829321)","08 May, 2024","19 May, 2024",2024-05-08,2024-05-19,17
29,"19 - 25 May, 2024","Geneva, Switzerland",Gonet Geneva Open,,ATP 250,"(46.2047169, 6.1423106290939335)","19 May, 2024","25 May, 2024",2024-05-19,2024-05-25,18
30,"19 - 25 May, 2024","Lyon, France",Open Parc Auvergne-Rhone-Alpes Lyon,,ATP 250,"(45.7578137, 4.8320114)","19 May, 2024","25 May, 2024",2024-05-19,2024-05-25,18
31,"26 May - 9 June, 2024","Paris, France",Roland Garros,,Grand Slam,"(48.8534951, 2.3483915)","26 May, 2024","09 June, 2024",2024-05-26,2024-06-09,19
32,"10 - 16 June, 2024","Stuttgart, Germany",BOSS OPEN,,ATP 250,"(48.7784485, 9.1800132)","10 June, 2024","16 June, 2024",2024-06-10,2024-06-16,20
33,"10 - 16 June, 2024","'s-Hertogenbosch, Netherlands",Libema Open,,ATP 250,"(51.6889387, 5.303116)","10 June, 2024","16 June, 2024",2024-06-10,2024-06-16,20
34,"17 - 23 June, 2024","London, Great Britain",Cinch Championships,,ATP 500,"(51.52378255, -0.1399490000000005)","17 June, 2024","23 June, 2024",2024-06-17,2024-06-23,21
35,"17 - 23 June, 2024","Halle, Germany",Terra Wortmann Open,,ATP 500,"(51.4825041, 11.9705452)","17 June, 2024","23 June, 2024",2024-06-17,2024-06-23,21
36,"23 - 29 June, 2024","Mallorca, Spain",Mallorca Championships,,ATP 250,"(39.613432, 2.8829184529439633)","23 June, 2024","29 June, 2024",2024-06-23,2024-06-29,22
37,"24 - 29 June, 2024","Eastbourne, Great Britain",Rothesay International,,ATP 250,"(None, None)","24 June, 2024","29 June, 2024",2024-06-24,2024-06-29,23
38,"1 - 14 July, 2024","London, Great Britain",Wimbledon,,Grand Slam,"(51.52378255, -0.1399490000000005)","01 July, 2024","14 July, 2024",2024-07-01,2024-07-14,24
39,"15 - 21 July, 2024","Hamburg, Germany",Hamburg Open,,ATP 500,"(53.550341, 10.000654)","15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,25
40,"15 - 21 July, 2024","Newport, United States",Infosys Hall of Fame Open,,ATP 250,"(41.4899827, -71.3137707)","15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,25
41,"15 - 21 July, 2024","Gstaad, Switzerland",EFG Swiss Open Gstaad,,ATP 250,"(46.4761004, 7.2873587)","15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,25
42,"15 - 21 July, 2024","Bastad, Sweden",Nordea Open,,ATP 250,"(56.4267895, 12.8607151)","15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,25
43,"21 - 27 July, 2024","Kitzbuhel, Austria",Generali Open,,ATP 250,"(47.4463585, 12.3911473)","21 July, 2024","27 July, 2024",2024-07-21,2024-07-27,26
44,"21 - 27 July, 2024","Umag, Croatia",Plava Laguna Croatia Open Umag,,ATP 250,"(45.4323587, 13.5224098)","21 July, 2024","27 July, 2024",2024-07-21,2024-07-27,26
45,"22 - 28 July, 2024","Atlanta, United States",Atlanta Open,,ATP 250,"(33.7489924, -84.3902644)","22 July, 2024","28 July, 2024",2024-07-22,2024-07-28,27
46,"29 July - 4 August, 2024","Washington, United States",Mubadala Citi DC Open,,ATP 500,"(38.8950368, -77.0365427)","29 July, 2024","04 August, 2024",2024-07-29,2024-08-04,28
