,u,v,u_continent,v_continent,u_name,v_name,u_coords,v_coords,dist,train_co2,airplane_co2,car_co2,modes,train_duration,car_duration,airplane_duration
10,10,12,Europe,Europe,Marseille,Rotterdam,"(43.2961743, 5.3699525)","(51.9244424, 4.47775)",961.6350054905101,0.013462890076867141,0.27406597656479537,0.18655719106515894,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",7.22,11.65,3.2020437568631377
11,11,12,South America,Europe,Cordoba,Rotterdam,"(-31.4166867, -64.1834193)","(51.9244424, 4.47775)",11391.000809170044,0.1594740113283806,3.2464352306134625,2.2098541569789885,[<Mode.AIRPLANE: 0>],0.0,0.0,16.238751011462554
12,9,13,North America,North America,Dallas,Delray Beach,"(32.7762719, -96.7968559)","(26.4614625, -80.0728201)",1761.7615339021759,0.02466466147463046,0.5021020371621201,0.3417817375770221,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",31.808888888888887,18.371388888888887,4.202201917377719
13,10,13,Europe,North America,Marseille,Delray Beach,"(43.2961743, 5.3699525)","(26.4614625, -80.0728201)",7694.150362209276,0.10771810507092985,2.192832853229644,1.4926651702685996,[<Mode.AIRPLANE: 0>],0.0,0.0,11.617687952761594
14,11,13,South America,North America,Cordoba,Delray Beach,"(-31.4166867, -64.1834193)","(26.4614625, -80.0728201)",6624.038484437049,0.09273653878211868,1.8878509680645592,1.2850634659807876,[<Mode.AIRPLANE: 0>],0.0,0.0,10.280048105546312
15,9,14,North America,South America,Dallas,Buenos Aires,"(32.7762719, -96.7968559)","(-34.6037181, -58.38153)",8470.530527976272,0.1185874273916678,2.4141012004732376,1.6432829224273968,[<Mode.AIRPLANE: 0>],0.0,0.0,12.58816315997034
16,10,14,Europe,South America,Marseille,Buenos Aires,"(43.2961743, 5.3699525)","(-34.6037181, -58.38153)",10780.150769810904,0.15092211077735265,3.0723429693961073,2.0913492493433155,[<Mode.AIRPLANE: 0>],0.0,0.0,15.47518846226363
17,11,14,South America,South America,Cordoba,Buenos Aires,"(-31.4166867, -64.1834193)","(-34.6037181, -58.38153)",646.9962540803634,0.009057947557125088,0.18439393241290358,0.12551727329159051,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",21.593888888888888,7.2091666666666665,2.8087453176004544
18,16,15,Asia,South America,Doha,Rio de Janeiro,"(25.2856329, 51.5264162)","(-22.9110137, -43.2093727)",11518.492301493188,0.16125889222090464,3.282770305925559,2.234587506489679,[<Mode.AIRPLANE: 0>],0.0,0.0,16.398115376866485
19,17,15,North America,South America,Los Cabos,Rio de Janeiro,"(21.166121, -100.936442)","(-22.9110137, -43.2093727)",7936.109826130062,0.11110553756582088,2.2617913004470678,1.5396053062692319,[<Mode.AIRPLANE: 0>],0.0,0.0,11.920137282662578
20,12,16,Europe,Asia,Rotterdam,Doha,"(51.9244424, 4.47775)","(25.2856329, 51.5264162)",4926.050982826232,0.06896471375956725,1.4039245301054764,0.955653890668289,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]",0.0,64.38194444444444,8.15756372853279
21,13,16,North America,Asia,Delray Beach,Doha,"(26.4614625, -80.0728201)","(25.2856329, 51.5264162)",12285.082650254795,0.17199115710356713,3.5012485553226167,2.38330603414943,[<Mode.AIRPLANE: 0>],0.0,0.0,17.35635331281849
22,14,16,South America,Asia,Buenos Aires,Doha,"(-34.6037181, -58.38153)","(25.2856329, 51.5264162)",13312.38074067879,0.18637333036950304,3.7940285110934546,2.582601863691685,[<Mode.AIRPLANE: 0>],0.0,0.0,18.640475925848488
23,12,17,Europe,North America,Rotterdam,Los Cabos,"(51.9244424, 4.47775)","(21.166121, -100.936442)",9183.010172658302,0.12856214241721622,2.617157899207616,1.7815039734957103,[<Mode.AIRPLANE: 0>],0.0,0.0,13.478762715822876
24,13,17,North America,North America,Delray Beach,Los Cabos,"(26.4614625, -80.0728201)","(21.166121, -100.936442)",2202.34400802664,0.030832816112372957,0.6276680422875924,0.4272547375571682,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",63.38805555555555,30.36916666666667,4.7529300100333
25,14,17,South America,North America,Buenos Aires,Los Cabos,"(-34.6037181, -58.38153)","(21.166121, -100.936442)",7638.879196201417,0.10694430874681982,2.1770805709174037,1.4819425640630748,[<Mode.AIRPLANE: 0>],0.0,0.0,11.548598995251771
26,15,18,South America,Asia,Rio de Janeiro,Dubai,"(-22.9110137, -43.2093727)","(25.074282349999997, 55.18853865430702)",11861.316445672213,0.16605843023941097,3.3804751870165806,2.301095390460409,[<Mode.AIRPLANE: 0>],0.0,0.0,16.826645557090266
27,15,19,South America,North America,Rio de Janeiro,Acapulco,"(-22.9110137, -43.2093727)","(16.8680495, -99.8940182)",7577.73829502361,0.10608833613033053,2.1596554140817283,1.4700812292345802,[<Mode.AIRPLANE: 0>],0.0,0.0,11.472172868779513
28,18,20,Asia,South America,Dubai,Santiago,"(25.074282349999997, 55.18853865430702)","(-33.4377756, -70.6504502)",14740.348838135513,0.2063648837338972,4.200999418868621,2.85962767459829,[<Mode.AIRPLANE: 0>],0.0,0.0,20.42543604766939
29,19,20,North America,South America,Acapulco,Santiago,"(16.8680495, -99.8940182)","(-33.4377756, -70.6504502)",6375.342046991809,0.08925478865788533,1.8169724833926657,1.236816357116411,[<Mode.AIRPLANE: 0>],0.0,0.0,9.969177558739762
30,20,21,South America,North America,Santiago,Indian Wells,"(-33.4377756, -70.6504502)","(33.7217965, -116.338303)",8836.674232252592,0.12371343925153629,2.5184521561919886,1.7143148010570028,[<Mode.AIRPLANE: 0>],0.0,0.0,13.045842790315739
31,21,22,North America,North America,Indian Wells,Miami,"(33.7217965, -116.338303)","(25.7741728, -80.19362)",3585.834811830976,0.050201687365633664,1.021962921371828,0.6956519534952094,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",66.90444444444445,37.420833333333334,6.4822935147887195
32,22,23,North America,North America,Miami,Houston,"(25.7741728, -80.19362)","(29.7589382, -95.3676974)",1558.128829923413,0.02181380361892778,0.44406671652817264,0.3022769930051421,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",25.95638888888889,17.02138888888889,3.9476610374042664
33,22,24,North America,Africa,Miami,Marrakech,"(25.7741728, -80.19362)","(31.6258257, -7.9891608)",6958.097557988527,0.09741336581183938,1.9830578040267304,1.3498709262497741,[<Mode.AIRPLANE: 0>],0.0,0.0,10.69762194748566
34,22,25,North America,Europe,Miami,Estoril,"(25.7741728, -80.19362)","(38.70957065, -9.390136815849147)",6661.969747744007,0.0932675764684161,1.8986613781070418,1.2924221310623374,[<Mode.AIRPLANE: 0>],0.0,0.0,10.327462184680009
35,23,26,North America,Europe,Houston,Monte-Carlo,"(29.7589382, -95.3676974)","(43.7402961, 7.426559)",8715.342430254534,0.12201479402356347,2.4838725926225425,1.6907764314693794,[<Mode.AIRPLANE: 0>],0.0,0.0,12.894178037818167
36,24,26,Africa,Europe,Marrakech,Monte-Carlo,"(31.6258257, -7.9891608)","(43.7402961, 7.426559)",1906.1877145932706,0.02668662800430579,0.5432634986590821,0.3698004166310945,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]",0.0,25.227777777777778,4.382734643241588
37,25,26,Europe,Europe,Estoril,Monte-Carlo,"(38.70957065, -9.390136815849147)","(43.7402961, 7.426559)",1513.2600399070175,0.021185640558698243,0.43127911137349995,0.2935724477419614,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",24.06972222222222,17.871388888888887,3.891575049883772
38,26,27,Europe,Europe,Monte-Carlo,Barcelona,"(43.7402961, 7.426559)","(41.3828939, 2.1774322)",504.2096128418395,0.0070589345797857535,0.14369973965992427,0.09781666489131687,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",14.699444444444444,6.986666666666666,2.630262016052299
39,26,28,Europe,Europe,Monte-Carlo,Munich,"(43.7402961, 7.426559)","(48.1371079, 11.5753822)",584.9021762221229,0.008188630467109721,0.16669712022330502,0.11347102218709183,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",17.772222222222222,8.842777777777778,2.7311277202776534
40,26,29,Europe,Europe,Monte-Carlo,Bucharest,"(43.7402961, 7.426559)","(44.4361414, 26.1027202)",1494.4676187774828,0.020922546662884758,0.4259232713515826,0.2899267180428317,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",40.57805555555556,20.977777777777778,3.8680845234718535
41,27,30,Europe,Europe,Barcelona,Madrid,"(41.3828939, 2.1774322)","(40.4167047, -3.7035825)",506.9220157558605,0.007096908220582048,0.14447277449042023,0.09834287105663694,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",3.433611111111111,6.4094444444444445,2.6336525196948255
42,28,30,Europe,Europe,Munich,Madrid,"(48.1371079, 11.5753822)","(40.4167047, -3.7035825)",1486.857766661241,0.020816008733257375,0.4237544634984537,0.28845040673228073,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",21.47972222222222,19.462777777777777,3.8585722083265512
43,29,30,Europe,Europe,Bucharest,Madrid,"(44.4361414, 26.1027202)","(40.4167047, -3.7035825)",2478.9271841604173,0.03470498057824584,0.7064942474857189,0.4809118737271209,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",46.281666666666666,33.455555555555556,5.098658980200522
44,30,31,Europe,Europe,Madrid,Rome,"(40.4167047, -3.7035825)","(41.8933203, 12.4829321)",1366.4466723813912,0.019130253413339477,0.3894373016286965,0.2650906544419899,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",20.093333333333334,19.939166666666665,3.7080583404767387
45,31,32,Europe,Europe,Rome,Geneva,"(41.8933203, 12.4829321)","(46.2047169, 6.1423106290939335)",697.9285043807874,0.009770999061331024,0.19890962374852442,0.13539812984987276,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",15.1225,9.465555555555556,2.872410630475984
46,31,33,Europe,Europe,Rome,Lyon,"(41.8933203, 12.4829321)","(45.7578137, 4.8320114)",749.8861551158261,0.010498406171621566,0.21371755420801045,0.14547791409247024,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",14.451944444444445,10.480277777777777,2.9373576938947825
47,32,34,Europe,Europe,Geneva,Paris,"(46.2047169, 6.1423106290939335)","(48.8534951, 2.3483915)",410.19790247500816,0.005742770634650113,0.11690640220537733,0.07957839308015158,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",3.883888888888889,5.394166666666667,2.5127473780937604
48,33,34,Europe,Europe,Lyon,Paris,"(45.7578137, 4.8320114)","(48.8534951, 2.3483915)",392.025318694331,0.005488354461720635,0.11172721582788434,0.07605291182670022,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",2.874722222222222,4.598888888888889,2.4900316483679137
49,34,35,Europe,Europe,Paris,Stuttgart,"(48.8534951, 2.3483915)","(48.7784485, 9.1800132)",501.6218907822227,0.007022706470951117,0.14296223887293347,0.0973146468117512,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",4.5905555555555555,6.597222222222222,2.6270273634777785
50,34,36,Europe,Europe,Paris,'s-Hertogenbosch,"(48.8534951, 2.3483915)","(51.6889387, 5.303116)",379.2018750459234,0.0053088262506429265,0.10807253438808816,0.07356516375890915,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",4.108611111111111,5.0247222222222225,2.4740023438074044
51,35,37,Europe,Europe,Stuttgart,London-West,"(48.7784485, 9.1800132)","(51.52378255, -0.1399490000000005)",732.064073636071,0.010248897030904995,0.20863826098628024,0.14202043028539776,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",8.379166666666666,10.534444444444444,2.9150800920450886
52,36,37,Europe,Europe,'s-Hertogenbosch,London-West,"(51.6889387, 5.303116)","(51.52378255, -0.1399490000000005)",377.4484630447926,0.005284278482627096,0.1075728119677659,0.07322500183068976,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",5.9863888888888885,6.35,2.4718105788059908
53,35,38,Europe,Europe,Stuttgart,Halle,"(48.7784485, 9.1800132)","(51.4825041, 11.9705452)",360.8789833895856,0.005052305767454198,0.1028505102660319,0.0700105227775796,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",5.016111111111111,5.030833333333334,2.451098729236982
54,36,38,Europe,Europe,'s-Hertogenbosch,Halle,"(51.6889387, 5.303116)","(51.4825041, 11.9705452)",462.52966040686425,0.006475415245696099,0.1318209532159563,0.08973075411893167,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",9.365277777777777,6.207222222222223,2.5781620755085806
55,37,39,Europe,Europe,London-West,Mallorca,"(51.52378255, -0.1399490000000005)","(39.613432, 2.8829184529439633)",1344.307173882707,0.0188203004343579,0.3831275445565715,0.2607955917332452,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]",0.0,24.705277777777777,3.680383967353384
56,38,39,Europe,Europe,Halle,Mallorca,"(51.4825041, 11.9705452)","(39.613432, 2.8829184529439633)",1495.2660156355098,0.020933724218897137,0.4261508144561203,0.29008160703328895,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]",0.0,26.000833333333333,3.869082519544387
57,39,40,Europe,Europe,Mallorca,Eastbourne,"(39.613432, 2.8829184529439633)","(None, None)",4396.412126438038,0.06154976977013253,1.2529774560348408,0.8529039525289794,[<Mode.AIRPLANE: 0>],0.0,0.0,7.495515158047548
58,40,41,Europe,Europe,Eastbourne,London,"(None, None)","(51.52378255, -0.1399490000000005)",5710.373460836557,0.0799452284517118,1.6274564363384185,1.1078124514022918,[<Mode.AIRPLANE: 0>],0.0,0.0,9.137966826045695
59,41,42,Europe,Europe,London,Hamburg,"(51.52378255, -0.1399490000000005)","(53.550341, 10.000654)",723.337039078029,0.010126718547092404,0.20615105613723825,0.1403273855811376,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",16.14361111111111,10.855555555555556,2.9041712988475363
60,41,43,Europe,North America,London,Newport,"(51.52378255, -0.1399490000000005)","(41.4899827, -71.3137707)",5352.7270011207975,0.07493817801569116,1.5255271953194274,1.0384290382174346,[<Mode.AIRPLANE: 0>],0.0,0.0,8.690908751400997
61,41,44,Europe,Europe,London,Gstaad,"(51.52378255, -0.1399490000000005)","(46.4761004, 7.2873587)",780.5687590125231,0.010927962626175323,0.22246209631856906,0.15143033924842947,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",16.763333333333332,11.660555555555556,2.975710948765654
62,41,45,Europe,Europe,London,Bastad,"(51.52378255, -0.1399490000000005)","(56.4267895, 12.8607151)",1010.1853551638974,0.014142594972294564,0.28790282622171076,0.1959759589017961,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",21.02888888888889,16.649166666666666,3.262731693954872
63,42,46,Europe,Europe,Hamburg,Kitzbuhel,"(53.550341, 10.000654)","(47.4463585, 12.3911473)",699.7536567754811,0.009796551194856737,0.19942979218101212,0.13575220941444333,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",11.9875,9.640833333333333,2.8746920709693513
64,43,46,North America,Europe,Newport,Kitzbuhel,"(41.4899827, -71.3137707)","(47.4463585, 12.3911473)",6363.474457158421,0.08908864240021788,1.8135902202901497,1.2345140446887335,[<Mode.AIRPLANE: 0>],0.0,0.0,9.954343071448026
65,44,46,Europe,Europe,Gstaad,Kitzbuhel,"(46.4761004, 7.2873587)","(47.4463585, 12.3911473)",403.0658424105303,0.005642921793747425,0.11487376508700113,0.07819477342764289,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",14.1275,6.8,2.503832303013163
66,45,46,Europe,Europe,Bastad,Kitzbuhel,"(56.4267895, 12.8607151)","(47.4463585, 12.3911473)",999.7286138765716,0.013996200594272002,0.2849226549548229,0.19394735109205488,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",22.272222222222222,14.759444444444444,3.2496607673457145
67,42,47,Europe,Europe,Hamburg,Umag,"(53.550341, 10.000654)","(45.4323587, 13.5224098)",937.9294361131213,0.013131012105583697,0.26730988929223953,0.18195831060594553,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",18.129444444444445,13.746666666666666,3.1724117951414015
68,43,47,North America,Europe,Newport,Umag,"(41.4899827, -71.3137707)","(45.4323587, 13.5224098)",6546.356423672479,0.09164898993141471,1.8657115807466564,1.2699931461924607,[<Mode.AIRPLANE: 0>],0.0,0.0,10.182945529590599
69,44,47,Europe,Europe,Gstaad,Umag,"(46.4761004, 7.2873587)","(45.4323587, 13.5224098)",496.9649986609918,0.006957509981253885,0.14163502461838268,0.09641120974023241,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",18.003611111111113,8.972777777777777,2.6212062483262395
70,45,47,Europe,Europe,Bastad,Umag,"(56.4267895, 12.8607151)","(45.4323587, 13.5224098)",1223.9584208981867,0.01713541789257461,0.3488281499559832,0.2374479336542482,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",27.95888888888889,18.865277777777777,3.5299480261227334
71,46,48,Europe,North America,Kitzbuhel,Atlanta,"(47.4463585, 12.3911473)","(33.7489924, -84.3902644)",7796.288709226294,0.1091480419291681,2.2219422821294934,1.512480009589901,[<Mode.AIRPLANE: 0>],0.0,0.0,11.745360886532866
72,47,48,Europe,North America,Umag,Atlanta,"(45.4323587, 13.5224098)","(33.7489924, -84.3902644)",7981.364125792789,0.11173909776109907,2.2746887758509446,1.548384640403801,[<Mode.AIRPLANE: 0>],0.0,0.0,11.976705157240987
73,48,49,North America,North America,Atlanta,Washington,"(33.7489924, -84.3902644)","(38.8950368, -77.0365427)",872.4315734020432,0.012214042027628604,0.24864299841958235,0.1692517252399964,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",17.095277777777778,9.58388888888889,3.090539466752554
74,49,50,North America,North America,Washington,Montreal,"(38.8950368, -77.0365427)","(45.5031824, -73.5698065)",787.6754025951728,0.011027455636332421,0.2244874897396243,0.15280902810346353,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",15.674166666666666,9.165,2.984594253243966
75,50,51,North America,North America,Montreal,Cincinnati,"(45.5031824, -73.5698065)","(39.1014537, -84.5124602)",1147.0541058560368,0.016058757481984515,0.3269104201689705,0.22252849653607115,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",20.512777777777778,12.401111111111112,3.433817632320046
76,51,52,North America,North America,Cincinnati,Winson-Salem,"(39.1014537, -84.5124602)","(None, None)",9537.668932050534,0.13352736504870746,2.718235645634402,1.8503077728178035,[<Mode.AIRPLANE: 0>],0.0,0.0,13.922086165063167
77,52,53,North America,North America,Winson-Salem,New York,"(None, None)","(40.7127281, -74.0060152)",8667.423493125378,0.12134392890375528,2.4702156955407326,1.6814801576663232,[<Mode.AIRPLANE: 0>],0.0,0.0,12.834279366406722
78,53,55,North America,Asia,New York,Chengdu,"(40.7127281, -74.0060152)","(30.7001324, 104.0708278)",12095.063421221043,0.1693308878970946,3.447093075047997,2.346442303716882,[<Mode.AIRPLANE: 0>],0.0,0.0,17.118829276526306
79,53,56,North America,Asia,New York,Zhuhai,"(40.7127281, -74.0060152)","(22.273734, 113.5721327)",12987.4520315799,0.1818243284421186,3.7014238290002712,2.5195656941265008,[<Mode.AIRPLANE: 0>],0.0,0.0,18.234315039474875
80,55,58,Asia,Asia,Chengdu,Tokyo,"(30.7001324, 104.0708278)","(35.6821936, 139.762221)",3355.102183132681,0.04697143056385753,0.9562041221928141,0.6508898235277402,[<Mode.AIRPLANE: 0>],0.0,0.0,6.193877728915852
81,56,58,Asia,Asia,Zhuhai,Tokyo,"(22.273734, 113.5721327)","(35.6821936, 139.762221)",2939.27974194217,0.04114991638719038,0.8376947264535185,0.570220269936781,[<Mode.AIRPLANE: 0>],0.0,0.0,5.674099677427712
82,58,59,Asia,Asia,Tokyo,Beijing,"(35.6821936, 139.762221)","(39.9057136, 116.3912972)",2104.602673604589,0.02946443743046425,0.599811761977308,0.4082929186792903,[<Mode.AIRPLANE: 0>],0.0,0.0,4.630753342005736
83,59,60,Asia,Asia,Beijing,Shanghai,"(39.9057136, 116.3912972)","(31.2312707, 121.4700152)",1066.3910109961153,0.014929474153945613,0.30392143813389283,0.20687985613324636,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]",0.0,12.238333333333333,3.332988763745144
84,60,61,Asia,Asia,Shanghai,Almaty,"(31.2312707, 121.4700152)","(43.2363924, 76.9457275)",4114.8273547172985,0.05760758296604218,1.1727257960944302,0.7982765068151558,[<Mode.AIRPLANE: 0>],0.0,0.0,7.143534193396623
85,60,62,Asia,Europe,Shanghai,Stockholm,"(31.2312707, 121.4700152)","(59.3251172, 18.0710935)",7781.337629498025,0.10893872681297236,2.2176812244069373,1.509579500122617,[<Mode.AIRPLANE: 0>],0.0,0.0,11.726672036872532
86,60,63,Asia,Europe,Shanghai,Antwerp,"(31.2312707, 121.4700152)","(51.2211097, 4.3997081)",9000.89041494814,0.12601246580927397,2.56525376826022,1.7461727404999392,[<Mode.AIRPLANE: 0>],0.0,0.0,13.251113018685176
87,61,64,Asia,Europe,Almaty,Vienna,"(43.2363924, 76.9457275)","(48.2083537, 16.3725042)",4624.499833793791,0.06474299767311308,1.3179824526312305,0.8971529677559956,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]",0.0,72.81388888888888,7.780624792242239
88,62,64,Europe,Europe,Stockholm,Vienna,"(59.3251172, 18.0710935)","(48.2083537, 16.3725042)",1242.2460275526757,0.017391444385737462,0.35404011785251255,0.2409957293452191,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",24.990833333333335,21.24861111111111,3.552807534440845
89,63,64,Europe,Europe,Antwerp,Vienna,"(51.2211097, 4.3997081)","(48.2083537, 16.3725042)",924.8729438032104,0.012948221213244945,0.26358878898391497,0.17942535109782282,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",14.948333333333334,11.68,3.156091179754013
90,61,65,Asia,Europe,Almaty,Basel,"(43.2363924, 76.9457275)","(47.5581077, 7.5878261)",5268.338135358463,0.07375673389501848,1.5014763685771617,1.0220575982595417,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]",0.0,79.8386111111111,8.585422669198078
91,62,65,Europe,Europe,Stockholm,Basel,"(59.3251172, 18.0710935)","(47.5581077, 7.5878261)",1479.315789779356,0.020710421056910986,0.42160500008711643,0.28698726321719503,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",22.399444444444445,19.748055555555556,3.849144737224195
92,63,65,Europe,Europe,Antwerp,Basel,"(51.2211097, 4.3997081)","(47.5581077, 7.5878261)",468.4404448372116,0.006558166227720963,0.1335055267786053,0.09087744629841904,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",6.5569444444444445,6.437777777777778,2.5855505560465146
93,64,66,Europe,Europe,Vienna,Paris-Bercy,"(48.2083537, 16.3725042)","(48.8534951, 2.3483915)",1036.7746992731877,0.014514845789824628,0.2954807892928585,0.2011342916589984,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",14.1825,12.762222222222222,3.2959683740914847
94,65,66,Europe,Europe,Basel,Paris-Bercy,"(47.5581077, 7.5878261)","(48.8534951, 2.3483915)",415.11340064515883,0.005811587609032224,0.11830731918387026,0.08053199972516081,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",3.776388888888889,5.756666666666667,2.5188917508064486
95,66,67,Europe,Europe,Paris-Bercy,Metz,"(48.8534951, 2.3483915)","(49.1196964, 6.1763552)",281.7030615851877,0.0039438428621926275,0.08028537255177849,0.05465039394752641,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",3.2047222222222222,3.4316666666666666,2.3521288269814846
