,u,v,u_continent,v_continent,u_name,v_name,u_coords,v_coords,dist,train_co2,airplane_co2,car_co2,modes,train_duration,car_duration,airplane_duration
0,2,3,Oceania,Asia,Brisbane,Hong Kong,"(-27.4689682, 153.0234991)","(22.2793278, 114.1628131)",6911.852399770458,0.09676593359678641,1.9698779339345804,1.3408993655554686,[<Mode.AIRPLANE: 0>],0.0,0.0,10.639815499713073
1,3,4,Asia,Oceania,Hong Kong,Adelaide,"(22.2793278, 114.1628131)","(-34.9281805, 138.5999312)",6837.746538939788,0.09572845154515704,1.9487577635978395,1.3265228285543187,[<Mode.AIRPLANE: 0>],0.0,0.0,10.547183173674734
2,3,5,Asia,Oceania,Hong Kong,Auckland,"(22.2793278, 114.1628131)","(-36.852095, 174.7631803)",9122.233811230888,0.12771127335723242,2.5998366362008034,1.7697133593787924,[<Mode.AIRPLANE: 0>],0.0,0.0,13.40279226403861
3,4,6,Oceania,Oceania,Adelaide,Melbourne,"(-34.9281805, 138.5999312)","(-37.8142454, 144.9631732)",654.4784683895019,0.009162698557453027,0.18652636349100807,0.12696882286756336,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",11.223611111111111,8.855555555555556,2.8180980854868776
4,5,6,Oceania,Oceania,Auckland,Melbourne,"(-36.852095, 174.7631803)","(-37.8142454, 144.9631732)",2631.887427881321,0.036846423990338495,0.7500879169461765,0.5105861610089762,[<Mode.AIRPLANE: 0>],0.0,0.0,5.2898592848516515
5,6,7,Oceania,Europe,Melbourne,Montpellier,"(-37.8142454, 144.9631732)","(43.6112422, 3.8767337)",16702.47558638094,0.23383465820933313,4.760205542118568,3.2402802637579025,[<Mode.AIRPLANE: 0>],0.0,0.0,22.878094482976177
6,7,9,Europe,North America,Montpellier,Dallas,"(43.6112422, 3.8767337)","(32.7762719, -96.7968559)",8346.361463595347,0.11684906049033486,2.378713017124674,1.6191941239374974,[<Mode.AIRPLANE: 0>],0.0,0.0,12.432951829494185
7,7,10,Europe,Europe,Montpellier,Marseille,"(43.6112422, 3.8767337)","(43.2961743, 5.3699525)",125.82384873442851,0.001761533882281999,0.03585979688931213,0.02440982665447913,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]",1.9927777777777778,1.9797222222222222,2.157279810918036
8,7,11,Europe,South America,Montpellier,Cordoba,"(43.6112422, 3.8767337)","(-31.4166867, -64.1834193)",10809.575857368292,0.1513340620031561,3.0807291193499635,2.0970577163294486,[<Mode.AIRPLANE: 0>],0.0,0.0,15.511969821710366
9,9,12,North America,Europe,Dallas,Rotterdam,"(32.7762719, -96.7968559)","(51.9244424, 4.47775)",7918.419058099599,0.11085786681339439,2.256749431558386,1.5361732972713222,[<Mode.AIRPLANE: 0>],0.0,0.0,11.898023822624499
