ranking_date,rank,player,points,date,path
20001225,1,102856,4195.0,2000-12-25,"Sydney -> Melbourne, Melbourne -> Mexico City, Mexico City -> Santiago, Santiago -> Bogota, Bogota -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Indianapolis, Indianapolis -> New York, New York -> Sydney Olympics, Sydney Olympics -> Hong Kong, Hong Kong -> Tokyo, Tokyo -> Stuttgart, Stuttgart -> Lyon, Lyon -> Paris, Paris -> Masters Cup"
20001225,2,103498,4120.0,2000-12-25,"Sydney -> Melbourne, Melbourne -> Marseille, Marseille -> Rotterdam, Rotterdam -> London, London -> Copenhagen, Copenhagen -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Mallorca, Mallorca -> Rome, Rome -> Hamburg, Hamburg -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> Stuttgart Outdoor, Stuttgart Outdoor -> Kitzbuhel, Kitzbuhel -> Canada, Canada -> Cincinnati, Cincinnati -> Indianapolis, Indianapolis -> New York, New York -> Tashkent, Tashkent -> Sydney Olympics, Sydney Olympics -> Vienna, Vienna -> Moscow, Moscow -> Stuttgart, Stuttgart -> St. Petersburg, St. Petersburg -> Paris, Paris -> Masters Cup"
20001225,3,101948,3385.0,2000-12-25,"Melbourne -> Scottsdale, Scottsdale -> Indian Wells, Indian Wells -> Miami, Miami -> Hamburg, Hamburg -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Masters Cup"
20001225,4,102796,3110.0,2000-12-25,"Adelaide -> Auckland, Auckland -> Melbourne, Melbourne -> Dubai, Dubai -> Rotterdam, Rotterdam -> Indian Wells, Indian Wells -> Miami, Miami -> Estoril, Estoril -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Hamburg, Hamburg -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> London, London -> Bastad, Bastad -> Stuttgart Outdoor, Stuttgart Outdoor -> Canada, Canada -> Cincinnati, Cincinnati -> Long Island, Long Island -> New York, New York -> Sydney Olympics, Sydney Olympics -> Vienna, Vienna -> Shanghai, Shanghai -> Stuttgart, Stuttgart -> Paris, Paris -> Stockholm, Stockholm -> Masters Cup"
20001225,5,102338,2935.0,2000-12-25,"Chennai -> Melbourne, Melbourne -> Marseille, Marseille -> Rotterdam, Rotterdam -> London, London -> Indian Wells, Indian Wells -> Miami, Miami -> Estoril, Estoril -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Mallorca, Mallorca -> Rome, Rome -> Hamburg, Hamburg -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Halle, Halle -> Stuttgart Outdoor, Stuttgart Outdoor -> Kitzbuhel, Kitzbuhel -> Canada, Canada -> Cincinnati, Cincinnati -> Indianapolis, Indianapolis -> Long Island, Long Island -> New York, New York -> Tashkent, Tashkent -> Sydney Olympics, Sydney Olympics -> Vienna, Vienna -> Moscow, Moscow -> Stuttgart, Stuttgart -> St. Petersburg, St. Petersburg -> Paris, Paris -> Stockholm, Stockholm -> Masters Cup"
20001225,6,101736,2765.0,2000-12-25,"Melbourne -> Scottsdale, Scottsdale -> Indian Wells, Indian Wells -> Miami, Miami -> Atlanta, Atlanta -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Washington, Washington -> New York, New York -> Stuttgart, Stuttgart -> Lyon, Lyon -> Masters Cup"
20001225,7,103720,2625.0,2000-12-25,"Adelaide -> Sydney, Sydney -> Melbourne, Melbourne -> Scottsdale, Scottsdale -> Indian Wells, Indian Wells -> Miami, Miami -> Rome, Rome -> Hamburg, Hamburg -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Indianapolis, Indianapolis -> New York, New York -> Sydney Olympics, Sydney Olympics -> Basel, Basel -> Stuttgart, Stuttgart -> Masters Cup"
20001225,8,102374,2475.0,2000-12-25,"Sydney -> Melbourne, Melbourne -> Scottsdale, Scottsdale -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Gstaad, Gstaad -> Kitzbuhel, Kitzbuhel -> Cincinnati, Cincinnati -> Washington, Washington -> Long Island, Long Island -> New York, New York -> Sydney Olympics, Sydney Olympics -> Vienna, Vienna -> Toulouse, Toulouse -> Stuttgart, Stuttgart -> Lyon, Lyon -> Paris, Paris -> Masters Cup"
20001225,9,102358,2210.0,2000-12-25,"Adelaide -> Melbourne, Melbourne -> Marseille, Marseille -> Rotterdam, Rotterdam -> London, London -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Munich, Munich -> Rome, Rome -> Hamburg, Hamburg -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> Canada, Canada -> Cincinnati, Cincinnati -> Indianapolis, Indianapolis -> Long Island, Long Island -> New York, New York -> Vienna, Vienna -> Basel, Basel -> Stuttgart, Stuttgart -> Lyon, Lyon -> Paris, Paris -> Stockholm"
20001225,10,102450,2020.0,2000-12-25,"Adelaide -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> London, London -> Scottsdale, Scottsdale -> Indian Wells, Indian Wells -> Miami, Miami -> Estoril, Estoril -> Monte Carlo, Monte Carlo -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> Nottingham, Nottingham -> Canada, Canada -> Cincinnati, Cincinnati -> Indianapolis, Indianapolis -> New York, New York -> Sydney Olympics, Sydney Olympics -> Hong Kong, Hong Kong -> Vienna, Vienna -> Basel, Basel -> Stuttgart, Stuttgart -> Paris, Paris -> Brighton"
