,index,date,venue,name,winner,cat,from,to,from_dt,to_dt,city,country,coords,continent,idx
26,29,"15 - 21 April, 2024","Bucharest, Romania",Tiriac Open,,ATP 250,"15 April, 2024","21 April, 2024",2024-04-15,2024-04-21,Bucharest,Romania,"(44.4361414, 26.1027202)",Europe,15
27,30,"24 April - 5 May, 2024","Madrid, Spain",Mutua Madrid Open,,ATP 1000,"24 April, 2024","05 May, 2024",2024-04-24,2024-05-05,Madrid,Spain,"(40.4167047, -3.7035825)",Europe,16
28,31,"8 - 19 May, 2024","Rome, Italy",Internazionali BNL d'Italia,,ATP 1000,"08 May, 2024","19 May, 2024",2024-05-08,2024-05-19,Rome,Italy,"(41.8933203, 12.4829321)",Europe,17
29,32,"19 - 25 May, 2024","Geneva, Switzerland",Gonet Geneva Open,,ATP 250,"19 May, 2024","25 May, 2024",2024-05-19,2024-05-25,Geneva,Switzerland,"(46.2047169, 6.1423106290939335)",Europe,18
30,33,"19 - 25 May, 2024","Lyon, France",Open Parc Auvergne-Rhone-Alpes Lyon,,ATP 250,"19 May, 2024","25 May, 2024",2024-05-19,2024-05-25,Lyon,France,"(45.7578137, 4.8320114)",Europe,18
31,34,"26 May - 9 June, 2024","Paris, France",Roland Garros,,Grand Slam,"26 May, 2024","09 June, 2024",2024-05-26,2024-06-09,Paris,France,"(48.8534951, 2.3483915)",Europe,19
32,35,"10 - 16 June, 2024","Stuttgart, Germany",BOSS OPEN,,ATP 250,"10 June, 2024","16 June, 2024",2024-06-10,2024-06-16,Stuttgart,Germany,"(48.7784485, 9.1800132)",Europe,20
33,36,"10 - 16 June, 2024","'s-Hertogenbosch, Netherlands",Libema Open,,ATP 250,"10 June, 2024","16 June, 2024",2024-06-10,2024-06-16,'s-Hertogenbosch,Netherlands,"(51.6889387, 5.303116)",Europe,20
34,37,"17 - 23 June, 2024","London, Great Britain",Cinch Championships,,ATP 500,"17 June, 2024","23 June, 2024",2024-06-17,2024-06-23,London,Great Britain,"(51.52378255, -0.1399490000000005)",Europe,21
35,38,"17 - 23 June, 2024","Halle, Germany",Terra Wortmann Open,,ATP 500,"17 June, 2024","23 June, 2024",2024-06-17,2024-06-23,Halle,Germany,"(51.4825041, 11.9705452)",Europe,21
36,39,"23 - 29 June, 2024","Mallorca, Spain",Mallorca Championships,,ATP 250,"23 June, 2024","29 June, 2024",2024-06-23,2024-06-29,Mallorca,Spain,"(39.613432, 2.8829184529439633)",Europe,22
37,40,"24 - 29 June, 2024","Eastbourne, Great Britain",Rothesay International,,ATP 250,"24 June, 2024","29 June, 2024",2024-06-24,2024-06-29,Eastbourne,Great Britain,"(None, None)",Europe,23
38,41,"1 - 14 July, 2024","London, Great Britain",Wimbledon,,Grand Slam,"01 July, 2024","14 July, 2024",2024-07-01,2024-07-14,London,Great Britain,"(51.52378255, -0.1399490000000005)",Europe,24
39,42,"15 - 21 July, 2024","Hamburg, Germany",Hamburg Open,,ATP 500,"15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,Hamburg,Germany,"(53.550341, 10.000654)",Europe,25
40,43,"15 - 21 July, 2024","Newport, United States",Infosys Hall of Fame Open,,ATP 250,"15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,Newport,United States,"(41.4899827, -71.3137707)",North America,25
41,44,"15 - 21 July, 2024","Gstaad, Switzerland",EFG Swiss Open Gstaad,,ATP 250,"15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,Gstaad,Switzerland,"(46.4761004, 7.2873587)",Europe,25
42,45,"15 - 21 July, 2024","Bastad, Sweden",Nordea Open,,ATP 250,"15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,Bastad,Sweden,"(56.4267895, 12.8607151)",Europe,25
43,46,"21 - 27 July, 2024","Kitzbuhel, Austria",Generali Open,,ATP 250,"21 July, 2024","27 July, 2024",2024-07-21,2024-07-27,Kitzbuhel,Austria,"(47.4463585, 12.3911473)",Europe,26
44,47,"21 - 27 July, 2024","Umag, Croatia",Plava Laguna Croatia Open Umag,,ATP 250,"21 July, 2024","27 July, 2024",2024-07-21,2024-07-27,Umag,Croatia,"(45.4323587, 13.5224098)",Europe,26
45,48,"22 - 28 July, 2024","Atlanta, United States",Atlanta Open,,ATP 250,"22 July, 2024","28 July, 2024",2024-07-22,2024-07-28,Atlanta,United States,"(33.7489924, -84.3902644)",North America,27
46,49,"29 July - 4 August, 2024","Washington, United States",Mubadala Citi DC Open,,ATP 500,"29 July, 2024","04 August, 2024",2024-07-29,2024-08-04,Washington,United States,"(38.8950368, -77.0365427)",North America,28
47,50,"6 - 12 August, 2024","Montreal, Canada",National Bank Open Presented by Rogers,,ATP 1000,"06 August, 2024","12 August, 2024",2024-08-06,2024-08-12,Montreal,Canada,"(45.5031824, -73.5698065)",North America,29
48,51,"12 - 19 August, 2024","Cincinnati, United States",Cincinnati Open,,ATP 1000,"12 August, 2024","19 August, 2024",2024-08-12,2024-08-19,Cincinnati,United States,"(39.1014537, -84.5124602)",North America,30
49,52,"18 - 24 August, 2024","Winson-Salem, United States",Winston-Salem Open,,ATP 250,"18 August, 2024","24 August, 2024",2024-08-18,2024-08-24,Winson-Salem,United States,"(None, None)",North America,31
50,53,"26 August - 8 September, 2024","New York, United States",US Open,,Grand Slam,"26 August, 2024","08 September, 2024",2024-08-26,2024-09-08,New York,United States,"(40.7127281, -74.0060152)",North America,32
51,55,"18 - 24 September, 2024","Chengdu, China",Chengdu Open,,ATP 250,"18 September, 2024","24 September, 2024",2024-09-18,2024-09-24,Chengdu,China,"(30.7001324, 104.0708278)",Asia,33
52,56,"18 - 24 September, 2024","Zhuhai, China",Huafa Properties Zhuhai Championships,,ATP 250,"18 September, 2024","24 September, 2024",2024-09-18,2024-09-24,Zhuhai,China,"(22.273734, 113.5721327)",Asia,33
53,58,"25 September - 1 October, 2024","Tokyo, Japan",Kinoshita Group Japan Open Tennis Championships,,ATP 500,"25 September, 2024","01 October, 2024",2024-09-25,2024-10-01,Tokyo,Japan,"(35.6821936, 139.762221)",Asia,34
54,59,"26 September - 2 October, 2024","Beijing, China",China Open,,ATP 500,"26 September, 2024","02 October, 2024",2024-09-26,2024-10-02,Beijing,China,"(39.9057136, 116.3912972)",Asia,35
55,60,"2 - 13 October, 2024","Shanghai, China",Rolex Shanghai Masters,,ATP 1000,"02 October, 2024","13 October, 2024",2024-10-02,2024-10-13,Shanghai,China,"(31.2312707, 121.4700152)",Asia,36
56,61,"14 - 20 October, 2024","Almaty, Kazakhstan",Almaty Open,,ATP 250,"14 October, 2024","20 October, 2024",2024-10-14,2024-10-20,Almaty,Kazakhstan,"(43.2363924, 76.9457275)",Asia,37
57,62,"14 - 20 October, 2024","Stockholm, Sweden",BNP Paribas Nordic Open,,ATP 250,"14 October, 2024","20 October, 2024",2024-10-14,2024-10-20,Stockholm,Sweden,"(59.3251172, 18.0710935)",Europe,37
58,63,"14 - 20 October, 2024","Antwerp, Belgium",European Open,,ATP 250,"14 October, 2024","20 October, 2024",2024-10-14,2024-10-20,Antwerp,Belgium,"(51.2211097, 4.3997081)",Europe,37
59,64,"21 - 27 October, 2024","Vienna, Austria",Erste Bank Open,,ATP 500,"21 October, 2024","27 October, 2024",2024-10-21,2024-10-27,Vienna,Austria,"(48.2083537, 16.3725042)",Europe,38
60,65,"21 - 27 October, 2024","Basel, Switzerland",Swiss Indoors Basel,,ATP 500,"21 October, 2024","27 October, 2024",2024-10-21,2024-10-27,Basel,Switzerland,"(47.5581077, 7.5878261)",Europe,38
61,66,"28 October - 3 November, 2024","Paris, France",Rolex Paris Masters,,ATP 1000,"28 October, 2024","03 November, 2024",2024-10-28,2024-11-03,Paris,France,"(48.8534951, 2.3483915)",Europe,39
62,67,"3 - 9 November, 2024","Metz, France",Moselle Open,,ATP 250,"03 November, 2024","09 November, 2024",2024-11-03,2024-11-09,Metz,France,"(49.1196964, 6.1763552)",Europe,40
63,68,"3 - 9 November, 2024","Gijon, Spain",Watergen Gijon Open,,ATP 250,"03 November, 2024","09 November, 2024",2024-11-03,2024-11-09,Gijon,Spain,"(43.5449422, -5.66275)",Europe,40
64,69,"10 - 17 November, 2024","Turin, Italy",Nitto ATP Finals,,ATP Finals,"10 November, 2024","17 November, 2024",2024-11-10,2024-11-17,Turin,Italy,"(45.0677551, 7.6824892)",Europe,41
65,71,"18 - 22 December, 2024","Jeddah, Saudi Arabia",Next Gen ATP Finals presented by PIF,,nextgen,"18 December, 2024","22 December, 2024",2024-12-18,2024-12-22,Jeddah,Saudi Arabia,"(21.5810088, 39.1653612)",Asia,42
