,index,date,venue,name,winner,cat,from,to,from_dt,to_dt,city,country,coords,continent,idx
0,2,"31 December, 2023 - 7 January, 2024","Brisbane, Australia",Brisbane International presented by Evie,Grigor Dimitrov,ATP 250,"31 December, 2023","07 January, 2024",2023-12-31,2024-01-07,Brisbane,Australia,"(-27.4689682, 153.0234991)",Oceania,0
1,3,"1 - 7 January, 2024","Hong Kong, Hong Kong",Bank of China Hong Kong Tennis Open,Andrey Rublev,ATP 250,"01 January, 2024","07 January, 2024",2024-01-01,2024-01-07,Hong Kong,Hong Kong,"(22.2793278, 114.1628131)",Asia,1
2,4,"8 - 13 January, 2024","Adelaide, Australia",Adelaide International,Jiri Lehecka,ATP 250,"08 January, 2024","13 January, 2024",2024-01-08,2024-01-13,Adelaide,Australia,"(-34.9281805, 138.5999312)",Oceania,2
3,5,"8 - 13 January, 2024","Auckland, New Zealand",ASB Classic,Alejandro Tabilo,ATP 250,"08 January, 2024","13 January, 2024",2024-01-08,2024-01-13,Auckland,New Zealand,"(-36.852095, 174.7631803)",Oceania,2
4,6,"14 - 28 January, 2024","Melbourne, Australia",Australian Open,Jannik Sinner,Grand Slam,"14 January, 2024","28 January, 2024",2024-01-14,2024-01-28,Melbourne,Australia,"(-37.8142454, 144.9631732)",Oceania,3
5,7,"29 January - 4 February, 2024","Montpellier, France",Open Sud de France – Montpellier,Alexander Bublik,ATP 250,"29 January, 2024","04 February, 2024",2024-01-29,2024-02-04,Montpellier,France,"(43.6112422, 3.8767337)",Europe,4
6,9,"5 - 11 February, 2024","Dallas, United States",Dallas Open,Tommy Paul,ATP 250,"05 February, 2024","11 February, 2024",2024-02-05,2024-02-11,Dallas,United States,"(32.7762719, -96.7968559)",North America,5
7,10,"5 - 11 February, 2024","Marseille, France",Open 13 Provence,Ugo Humbert,ATP 250,"05 February, 2024","11 February, 2024",2024-02-05,2024-02-11,Marseille,France,"(43.2961743, 5.3699525)",Europe,5
8,11,"5 - 11 February, 2024","Cordoba, Argentina",Cordoba Open,Luciano Darderi,ATP 250,"05 February, 2024","11 February, 2024",2024-02-05,2024-02-11,Cordoba,Argentina,"(-31.4166867, -64.1834193)",South America,5
9,12,"12 - 18 February, 2024","Rotterdam, Netherlands",ABN AMRO Open,Jannik Sinner,ATP 500,"12 February, 2024","18 February, 2024",2024-02-12,2024-02-18,Rotterdam,Netherlands,"(51.9244424, 4.47775)",Europe,6
10,13,"12 - 18 February, 2024","Delray Beach, United States",Delray Beach Open,Taylor Fritz,ATP 250,"12 February, 2024","18 February, 2024",2024-02-12,2024-02-18,Delray Beach,United States,"(26.4614625, -80.0728201)",North America,6
11,14,"12 - 18 February, 2024","Buenos Aires, Argentina",IEB+ Argentina Open,Facundo Diaz Acosta,ATP 250,"12 February, 2024","18 February, 2024",2024-02-12,2024-02-18,Buenos Aires,Argentina,"(-34.6037181, -58.38153)",South America,6
12,15,"19 - 25 February, 2024","Rio de Janeiro, Brazil",Rio Open presented by Claro,Sebastian Baez,ATP 500,"19 February, 2024","25 February, 2024",2024-02-19,2024-02-25,Rio de Janeiro,Brazil,"(-22.9110137, -43.2093727)",South America,8
13,16,"19 - 24 February, 2024","Doha, Qatar",Qatar ExxonMobil Open,Karen Khachanov,ATP 250,"19 February, 2024","24 February, 2024",2024-02-19,2024-02-24,Doha,Qatar,"(25.2856329, 51.5264162)",Asia,7
14,17,"19 - 24 February, 2024","Los Cabos, Mexico",Mifel Tennis Open by Telcel Oppo,Jordan Thompson,ATP 250,"19 February, 2024","24 February, 2024",2024-02-19,2024-02-24,Los Cabos,Mexico,"(21.166121, -100.936442)",North America,7
15,18,"26 February - 2 March, 2024","Dubai, United Arab Emirates",Dubai Duty Free Tennis Championships,Ugo Humbert,ATP 500,"26 February, 2024","02 March, 2024",2024-02-26,2024-03-02,Dubai,United Arab Emirates,"(25.074282349999997, 55.18853865430702)",Asia,9
16,19,"26 February - 2 March, 2024","Acapulco, Mexico",Abierto Mexicano Telcel presentado por HSBC,Alex de Minaur,ATP 500,"26 February, 2024","02 March, 2024",2024-02-26,2024-03-02,Acapulco,Mexico,"(16.8680495, -99.8940182)",North America,9
17,20,"26 February - 3 March, 2024","Santiago, Chile",Movistar Chile Open,Sebastian Baez,ATP 250,"26 February, 2024","03 March, 2024",2024-02-26,2024-03-03,Santiago,Chile,"(-33.4377756, -70.6504502)",South America,10
18,21,"6 - 17 March, 2024","Indian Wells, United States",BNP Paribas Open,Carlos Alcaraz,ATP 1000,"06 March, 2024","17 March, 2024",2024-03-06,2024-03-17,Indian Wells,United States,"(33.7217965, -116.338303)",North America,11
19,22,"20 - 31 March, 2024","Miami, United States",Miami Open presented by Itau,,ATP 1000,"20 March, 2024","31 March, 2024",2024-03-20,2024-03-31,Miami,United States,"(25.7741728, -80.19362)",North America,12
20,23,"1 - 7 April, 2024","Houston, United States",Fayez Sarofim & Co. U.S. Men's Clay Court Championship,,ATP 250,"01 April, 2024","07 April, 2024",2024-04-01,2024-04-07,Houston,United States,"(29.7589382, -95.3676974)",North America,13
21,24,"1 - 7 April, 2024","Marrakech, Morocco",Grand Prix Hassan II,,ATP 250,"01 April, 2024","07 April, 2024",2024-04-01,2024-04-07,Marrakech,Morocco,"(31.6258257, -7.9891608)",Africa,13
22,25,"1 - 7 April, 2024","Estoril, Portugal",Millennium Estoril Open,,ATP 250,"01 April, 2024","07 April, 2024",2024-04-01,2024-04-07,Estoril,Portugal,"(38.70957065, -9.390136815849147)",Europe,13
23,26,"7 - 14 April, 2024","Monte-Carlo, Monaco",Rolex Monte-Carlo Masters,,ATP 1000,"07 April, 2024","14 April, 2024",2024-04-07,2024-04-14,Monte-Carlo,Monaco,"(43.7402961, 7.426559)",Europe,14
24,27,"15 - 21 April, 2024","Barcelona, Spain",Barcelona Open Banc Sabadell,,ATP 500,"15 April, 2024","21 April, 2024",2024-04-15,2024-04-21,Barcelona,Spain,"(41.3828939, 2.1774322)",Europe,15
25,28,"15 - 21 April, 2024","Munich, Germany",BMW Open,,ATP 250,"15 April, 2024","21 April, 2024",2024-04-15,2024-04-21,Munich,Germany,"(48.1371079, 11.5753822)",Europe,15
