ranking_date,rank,player,points,date,path
20211227,1,104925,11540.0,2021-12-27,"Atp Cup -> Melbourne, Melbourne -> Monte Carlo, Monte Carlo -> Belgrade, Belgrade -> Rome, Rome -> Belgrade 2, Belgrade 2 -> Paris 1, Paris 1 -> London, London -> Tokyo Olympics, Tokyo Olympics -> Us Open, Us Open -> Paris, Paris -> London 2"
20211227,2,106421,8640.0,2021-12-27,"Atp Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Marseille, Marseille -> Miami, Miami -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Halle, Halle -> Mallorca, Mallorca -> London, London -> Tokyo Olympics, Tokyo Olympics -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Laver Cup, Laver Cup -> Indian Wells, Indian Wells -> Paris, Paris -> London 2"
20211227,3,100644,7840.0,2021-12-27,"Atp Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Acapulco, Acapulco -> Miami, Miami -> Monte Carlo, Monte Carlo -> Munich, Munich -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Tokyo Olympics, Tokyo Olympics -> Cincinnati, Cincinnati -> Us Open, Us Open -> Laver Cup, Laver Cup -> Indian Wells, Indian Wells -> Vienna, Vienna -> Paris, Paris -> London 2"
20211227,4,126774,6540.0,2021-12-27,"Atp Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Marseille, Marseille -> Acapulco, Acapulco -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Lyon, Lyon -> Paris 1, Paris 1 -> London, London -> Hamburg, Hamburg -> Tokyo Olympics, Tokyo Olympics -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Laver Cup, Laver Cup -> Indian Wells, Indian Wells -> Vienna, Vienna -> Paris, Paris -> London 2"
20211227,5,126094,5150.0,2021-12-27,"Atp Cup -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Doha, Doha -> Dubai, Dubai -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Tokyo Olympics, Tokyo Olympics -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Laver Cup, Laver Cup -> San Diego, San Diego -> Indian Wells, Indian Wells -> Moscow, Moscow -> St. Petersburg, St. Petersburg -> Paris, Paris -> London 2"
20211227,6,104745,4875.0,2021-12-27,"Melbourne -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Washington"
20211227,7,126610,4568.0,2021-12-27,"Antalya -> Atp Cup, Atp Cup -> Melbourne, Melbourne -> Monte Carlo, Monte Carlo -> Belgrade, Belgrade -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Cincinnati, Cincinnati -> Us Open, Us Open -> Laver Cup, Laver Cup -> Indian Wells, Indian Wells -> Vienna, Vienna -> London 2"
20211227,8,134770,4160.0,2021-12-27,"Murray River Open -> Melbourne, Melbourne -> Acapulco, Acapulco -> Marbella, Marbella -> Monte Carlo, Monte Carlo -> Munich, Munich -> Madrid, Madrid -> Geneva, Geneva -> Paris 1, Paris 1 -> Mallorca, Mallorca -> London, London -> Bastad, Bastad -> Gstaad, Gstaad -> Kitzbuhel, Kitzbuhel -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Laver Cup, Laver Cup -> San Diego, San Diego -> Indian Wells, Indian Wells -> Vienna, Vienna -> Paris, Paris -> London 2"
20211227,9,128034,3706.0,2021-12-27,"Delray Beach -> Great Ocean Road Open, Great Ocean Road Open -> Melbourne, Melbourne -> Montpellier, Montpellier -> Rotterdam, Rotterdam -> Dubai, Dubai -> Miami, Miami -> Monte Carlo, Monte Carlo -> Madrid, Madrid -> Rome, Rome -> Paris 1, Paris 1 -> Stuttgart, Stuttgart -> Halle, Halle -> London, London -> Tokyo Olympics, Tokyo Olympics -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Metz, Metz -> San Diego, San Diego -> Indian Wells, Indian Wells -> Vienna, Vienna -> Paris, Paris -> London 2"
20211227,10,206173,3350.0,2021-12-27,"Great Ocean Road Open -> Melbourne, Melbourne -> Montpellier, Montpellier -> Marseille, Marseille -> Dubai, Dubai -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Madrid, Madrid -> Rome, Rome -> Lyon, Lyon -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Atlanta, Atlanta -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> Us Open, Us Open -> Sofia, Sofia -> Indian Wells, Indian Wells -> Antwerp, Antwerp -> Vienna, Vienna -> Paris, Paris -> Stockholm, Stockholm -> London 2"
