ranking_date,rank,player,points,date,path
20041227,1,103819,6335.0,2004-12-27,"Melbourne -> Rotterdam, Rotterdam -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Gstaad, Gstaad -> Canada, Canada -> Cincinnati, Cincinnati -> Athens Olympics, Athens Olympics -> New York, New York -> Bangkok, Bangkok -> Masters Cup"
20041227,2,104053,3655.0,2004-12-27,"Doha -> Melbourne, Melbourne -> San Jose, San Jose -> Memphis, Memphis -> Scottsdale, Scottsdale -> Indian Wells, Indian Wells -> Miami, Miami -> Houston, Houston -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Indianapolis, Indianapolis -> Canada, Canada -> Cincinnati, Cincinnati -> Athens Olympics, Athens Olympics -> New York, New York -> Bangkok, Bangkok -> Paris, Paris -> Masters Cup"
20041227,3,103720,3590.0,2004-12-27,"Sydney -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Hamburg, Hamburg -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Washington, Washington -> Long Island, Long Island -> New York, New York -> Tokyo, Tokyo -> Paris, Paris -> Masters Cup"
20041227,4,103498,3060.0,2004-12-27,"Melbourne -> Marseille, Marseille -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Estoril, Estoril -> Monte Carlo, Monte Carlo -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Sopot, Sopot -> Athens Olympics, Athens Olympics -> New York, New York -> Beijing, Beijing -> Bangkok, Bangkok -> Moscow, Moscow -> Madrid, Madrid -> St. Petersburg, St. Petersburg -> Paris, Paris -> Masters Cup"
20041227,5,102845,2520.0,2004-12-27,"Chennai -> Sydney, Sydney -> Buenos Aires, Buenos Aires -> Costa Do Sauipe, Costa Do Sauipe -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> London, London -> Umag, Umag -> Canada, Canada -> Cincinnati, Cincinnati -> Athens Olympics, Athens Olympics -> New York, New York -> Beijing, Beijing -> Masters Cup"
20041227,6,102450,2465.0,2004-12-27,"Doha -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> Athens Olympics, Athens Olympics -> New York, New York -> Madrid, Madrid -> Basel, Basel -> Paris, Paris -> Masters Cup"
20041227,7,103909,2400.0,2004-12-27,"Auckland -> Melbourne, Melbourne -> Buenos Aires, Buenos Aires -> Marseille, Marseille -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> s Hertogenbosch, s Hertogenbosch -> London, London -> Canada, Canada -> Masters Cup"
20041227,8,101736,2100.0,2004-12-27,"Melbourne -> San Jose, San Jose -> Indian Wells, Indian Wells -> Miami, Miami -> St. Poelten, St. Poelten -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> Los Angeles, Los Angeles -> Canada, Canada -> Cincinnati, Cincinnati -> Washington, Washington -> New York, New York -> Madrid, Madrid -> Stockholm"
20041227,9,103900,1945.0,2004-12-27,"Melbourne -> Dubai, Dubai -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Hamburg, Hamburg -> Paris 1, Paris 1 -> Canada, Canada -> New York, New York -> Beijing, Beijing -> Tokyo, Tokyo -> Vienna, Vienna -> Madrid, Madrid -> Basel"
20041227,10,103292,1920.0,2004-12-27,"Auckland -> Melbourne, Melbourne -> Vina del Mar, Vina del Mar -> Buenos Aires, Buenos Aires -> Costa Do Sauipe, Costa Do Sauipe -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Estoril, Estoril -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Hamburg, Hamburg -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Bastad, Bastad -> Stuttgart, Stuttgart -> Kitzbuhel, Kitzbuhel -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Basel, Basel -> Paris, Paris -> Masters Cup"
